senseval2.d000.s000.t000	5) The study and creation of visual works of art
semeval2013.d012.s004.t001	1) A tie consisting of a cord that goes through a seam around an opening.
semeval2013.d012.s004.t002	1) A financial institution that accepts deposits and channels the money into lending activities.
semeval2013.d012.s004.t003	1) A verbal commitment by one person to another agreeing to do (or not to do) something in the future.In
semeval2013.d012.s005.t000	4) The quality (positive or negative) that renders something desirable or valuable
semeval2013.d012.s005.t001	1) Property that your creditor can claim in case you default on your obligationThis definition best identifies the meaning of "se
semeval2013.d012.s005.t002	2) An unstable situation of extreme danger or difficulty.
semeval2013.d012.s006.t000	2) One of a series published periodically
semeval2013.d012.s006.t004	2) A Mid-Atlantic state; one of the original 13 colonies
semeval2013.d012.s007.t000	1) A financial institution that accepts deposits and channels the money into lending activities.
semeval2013.d012.s007.t002	8) Something settled or resolved; the outcome of decision making
semeval2013.d012.s008.t000	1) A symbol of commercialism or greedExplanation: The most suitable definition is "A symbol of commercialism or greed
semeval2013.d012.s009.t001	2) Responsive to stimulation
semeval2013.d012.s009.t002	1) A financial institution that accepts deposits and channels the money into lending activities
semeval2013.d012.s010.t002	3) A legal process intended to insure equality among the creditors of a corporation declared to be insolvent
semeval2013.d012.s010.t004	1) Matter that has been deposited by some natural processThis definition identifies "deposits" as the natural process of
semeval2013.d012.s011.t000	The most suitable dictionary definition is:4) Something (such as money) given or received as payment or reparation (as
semeval2013.d012.s011.t002	2) The number that is represented as a one followed by 9 zeros
semeval2013.d012.s012.t000	1) A concluding action.
semeval2013.d012.s013.t000	1) A governmental agency that regulates businesses in the public interest.This definition accurately describes a regulatory agency, which is a government
semeval2013.d012.s013.t001	1) A financial institution that accepts deposits and channels the money into lending activities.This definition accurately identifies the meaning of "banks
semeval2013.d012.s013.t002	2) The period of finest development, happiness, or beauty
semeval2013.d012.s016.t000	2) An event (or a course of events) that will inevitably happen in the future
semeval2013.d012.s016.t001	2) A number refers to how many there are of something.
semeval2013.d012.s016.t002	The most suitable dictionary definition for "companies" in the given sentence is:1) An institution created to conduct businessThis
semeval2013.d012.s017.t002	3) Elevation especially above sea level or above the earth's surface.
semeval2013.d012.s017.t003	2) An unstable situation of extreme danger or difficulty.
semeval2013.d012.s018.t000	The most suitable dictionary definition which identifies the meaning of "banks" is:2) An arrangement of similar objects in a row
semeval2013.d012.s018.t001	3) The act of winding or twisting.
semeval2013.d012.s018.t002	2) North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America
semeval2013.d012.s018.t003	2) The period of time that it takes for a planet (as, e.g., Earth or Mars) to make a
semeval2013.d012.s019.t001	5) An official responsible for control and supervision of a particular activity or area of public interest.
semeval2013.d012.s019.t002	2) How much there is or how many there are of something that you can quantify
semeval2013.d012.s019.t003	5) A claim sufficient to demand judicial attention; the facts that give rise to right of action.
semeval2013.d012.s019.t004	4) Something (such as money) given or received as payment or reparation (as for a service or loss or injury
semeval2013.d012.s019.t005	2) Bad or dishonest management by persons supposed to act on another's behalf.
semeval2013.d012.s020.t000	1) One of a series of ridges that moves across the surface of a liquid (especially across a large body of water
semeval2013.d012.s020.t001	5) A claim sufficient to demand judicial attention; the facts that give rise to right of action.
semeval2013.d012.s021.t000	1) A financial institution that accepts deposits and channels the money into lending activitiesThis definition best fits the context of the sentence
semeval2013.d012.s021.t007	The most suitable dictionary definition is:1) The basic unit of money in many countries; equal to 100 centsThis
semeval2013.d012.s022.t002	4) The quality (positive or negative) that renders something desirable or valuable.
semeval2013.d012.s022.t003	1) The basic unit of money in many countries; equal to 100 cents
semeval2013.d012.s023.t000	5) An official responsible for control and supervision of a particular activity or area of public interest
semeval2013.d012.s023.t001	The most suitable dictionary definition which identifies the meaning of "bank" is:1) A financial institution that accepts deposits and channels
semeval2013.d012.s023.t002	2) A form of trustworthiness; the trait of being answerable to someone for something or being responsible for one's
semeval2013.d012.s023.t004	The most suitable definition is:3) The arithmetic operation of summing; calculating the sum of two or more numbersThis
semeval2013.d012.s024.t000	5) A claim sufficient to demand judicial attention; the facts that give rise to right of action.
semeval2013.d012.s024.t001	2) An act of intending; a volition that you intend to carry out
semeval2013.d012.s024.t002	5) A claim sufficient to demand judicial attention; the facts that give rise to right of action.
semeval2015.d000.s000.t000	3) Writing that provides information (especially information of an official nature).
semeval2015.d000.s000.t003	1) Not private; open to or concerning the people as a whole.The European Public Assessment Report (EPAR) is
semeval2015.d000.s000.t004	The most suitable dictionary definition which identifies the meaning of "Assessment" is:3) An appraisal of the value of something
semeval2015.d000.s000.t005	3) A written document describing the findings of some individual or group.
semeval2015.d000.s001.t000	3) Make plain and comprehensible
semeval2015.d000.s001.t001	2) A special group delegated to consider some matter.
semeval2015.d000.s001.t003	4) The set of elements common to two or more sets.
semeval2015.d000.s001.t004	The most suitable definition is:3) Relating to a personThe sentence indicates that the Committee for Medicinal Products for
semeval2015.d000.s001.t005	3) The exercise of the legal right to enjoy the benefits of owning property.
semeval2015.d000.s001.t006	3) Evaluate or estimate the nature, quality, ability, extent, or significance of
semeval2015.d000.s001.t007	1) A written document describing the findings of some individual or group.
semeval2015.d000.s001.t008	1) Carry out or perform an action
semeval2015.d000.s001.t009	2) Reach a destination; arrive by movement or progress
semeval2015.d000.s001.t010	2) Something that recommends (or expresses commendation of) a person or thing as worthy or desirable
semeval2015.d000.s001.t011	5) Seek or achieve an end by using to one's advantage
semeval2015.d000.s001.t012	1) The learned profession that is mastered by graduate training in a medical school and that is devoted to preventing or alleviating or
semeval2015.d000.s002.t000	2) Have or feel a need for
semeval2015.d000.s002.t001	2) (comparative of `much' used with mass nouns) a quantifier meaning greater in size or amount or
semeval2015.d000.s002.t002	2) Knowledge acquired through study or experience or instruction.
semeval2015.d000.s002.t003	1) Relating to the study or practice of medicine
semeval2015.d000.s002.t004	2) An illness, disease, or other medical problem.
semeval2015.d000.s002.t005	3) (medicine) the act of caring for someone (as by medication or remedial training etc.).
semeval2015.d000.s002.t006	5) Look at, interpret, and say out loud something that is written or printed.
semeval2015.d000.s002.t008	2) An advertisement (usually printed on a page or in a leaflet) intended for wide distribution
semeval2015.d000.s002.t010	1) The actions and activities assigned to or required or expected of a person or groupThis definition identifies the meaning of "
semeval2015.d000.s002.t011	2) Be in or establish communication with
semeval2015.d000.s002.t012	1) A licensed medical practitioner
semeval2015.d000.s003.t000	2) Hunt or look for; want for a particular reason
semeval2015.d000.s003.t001	1) (comparative of `many' used with count nouns) quantifier meaning greater in number.In this sentence
semeval2015.d000.s003.t002	3) A collection of facts from which conclusions may be drawn
semeval2015.d000.s003.t003	The most suitable dictionary definition which identifies the meaning of "basis" among the options is:4) A relation that provides the
semeval2015.d000.s003.t004	2) Something that recommends (or expresses commendation of) a person or thing as worthy or desirable
semeval2015.d000.s003.t005	The most suitable dictionary definition which identifies the meaning of "read" among the given options is:5) Look at, interpret
semeval2015.d000.s003.t007	2) An extended communication (often interactive) dealing with some particular topic.The most suitable definition for "Discussion" is option
semeval2015.d000.s003.t009	1) The actions and activities assigned to or required or expected of a person or group.The most suitable dictionary definition which identifies
semeval2015.d000.s005.t000	1) A solid substance in the form of tiny loose particles; a solid that has been pulverized
semeval2015.d000.s005.t002	2) A homogeneous mixture of two or more substances; frequently (but not necessarily) a liquid solution
semeval2015.d000.s005.t003	3) (medicine) the passive introduction of a substance (a fluid or drug or electrolyte) into a vein or between
semeval2015.d000.s005.t004	2) Let or cause to fall in drops
semeval2015.d000.s005.t005	3) A layer of ore between layers of rock
semeval2015.d000.s006.t000	The most suitable definition which identifies the meaning of "contains" is:4) Be capable of holding or containing
semeval2015.d000.s006.t001	9) the legislative hall where members debate and vote and conduct other business.
semeval2015.d000.s006.t002	2) Material produced by or used in a reaction involving changes in atoms or molecules.
semeval2015.d000.s007.t000	The most suitable dictionary definition which identifies the meaning of "used" among the given options is:4) Use up, consume
semeval2015.d000.s008.t000	5) Seek or achieve an end by using to one's advantage.The sentence "Alimta is used to treat two
semeval2015.d000.s008.t001	3) Provide treatment for
semeval2015.d000.s008.t002	2) A subdivision of a particular kind of thing
semeval2015.d000.s008.t003	2) A small zodiacal constellation in the northern hemisphere; between Leo and Gemini
semeval2015.d000.s008.t006	3) Any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body
semeval2015.d000.s008.t007	3) A protective covering that protects an inside surface.
semeval2015.d000.s008.t010	2) Give rise to; cause to happen or occur, not always intentionallyIn the given sentence, "Alimta
semeval2015.d000.s009.t000	1) Avail oneself to (to make use of something for a particular purpose or for its inherent or natural purpose)
semeval2015.d000.s009.t003	1) The learned profession that is mastered by graduate training in a medical school and that is devoted to preventing or alleviating or
semeval2015.d000.s009.t004	3) The fourth sign of the zodiac; the sun is in this sign from about June 21 to July 22
semeval2015.d000.s009.t005	3) Cause to leave.
semeval2015.d000.s009.t006	1) The branch of medical science that treats disease or injury by operative procedures
semeval2015.d000.s009.t007	2) Radically distinctive and without equal
semeval2015.d000.s009.t009	2) Cause be distributed
semeval2015.d000.s009.t010	2) Has a good chance of being the case or of coming about
semeval2015.d000.s009.t011	The most suitable dictionary definition which identifies the meaning of "spread" is:8) become widely known and passed on.This
semeval2015.d000.s009.t012	2) Indicating high probability; in all likelihood
semeval2015.d000.s009.t013	2) Belonging to the distant past
semeval2015.d000.s009.t014	1) One of the portions into which something is regarded as divided and which together constitute a whole.
semeval2015.d000.s009.t015	The most suitable dictionary definition which identifies the meaning of "body" is:6) A transistor in which most current flows in
semeval2015.d000.s009.t016	1) A person who requires medical care.
semeval2015.d000.s009.t020	1) The learned profession that is mastered by graduate training in a medical school and that is devoted to preventing or alleviating or
semeval2015.d000.s009.t021	1) A small zodiacal constellation in the northern hemisphere; between Leo and Gemini
semeval2015.d000.s009.t022	1) (of societies) highly developed especially in technology or industry.
semeval2015.d000.s009.t024	3) A room where a prisoner is kept.This definition refers to a room where a prisoner is held, which is most
semeval2015.d000.s009.t027	1) Have an effect uponThis definition accurately describes the meaning of "affecting" in the context of the sentence
semeval2015.d000.s010.t000	3) Take or consume (regularly or habitually)The most suitable dictionary definition which identifies the meaning of "used"
semeval2015.d000.s010.t002	2) The semantic role of an entity that is not the agent but is directly involved in or affected by the happening denoted
semeval2015.d000.s010.t004	3) Provide treatment forThe most suitable dictionary definition which identifies the meaning of "treated" among the given options is
semeval2015.d000.s010.t005	1) A person who requires medical care
semeval2015.d000.s010.t007	2) A subdivision of a particular kind of thing
semeval2015.d000.s010.t009	2) A verb tense that expresses actions or states in the past
semeval2015.d000.s011.t000	1) The learned profession that is mastered by graduate training in a medical school and that is devoted to preventing or alleviating or
semeval2015.d000.s011.t001	The most suitable dictionary definition which identifies the meaning of "only" among the given options is:2) And nothing more
semeval2015.d000.s011.t002	2) Come into possession of
semeval2015.d000.s011.t003	3) Written instructions from a physician or dentist to a druggist concerning the form and dosage of a drug to be issued
semeval2015.d000.s012.t000	3) Take or consume (regularly or habitually)
semeval2015.d000.s013.t000	The most suitable definition of "only" is:4) Except thatThis definition identifies "only" as meaning "except
semeval2015.d000.s013.t001	1) Perform for an audience.
semeval2015.d000.s013.t003	The most suitable dictionary definition which identifies the meaning of "doctor" among the given options is:1) A licensed medical practitioner
semeval2015.d000.s013.t004	3) (law) the exercise of the legal right to enjoy the benefits of owning property.
semeval2015.d000.s014.t000	5) The quantity of an active agent (substance or radiation) taken in or absorbed at any one time
semeval2015.d000.s014.t001	1) A light silver-white ductile bivalent metallic element; in pure form it burns with brilliant white flame; occurs naturally
semeval2015.d000.s014.t003	The most suitable dictionary definition which identifies the meaning of "body" among the given options is:7) The external structure of
semeval2015.d000.s014.t005	2) Make a mathematical calculation or computation
semeval2015.d000.s014.t006	4) use up, consume fully
semeval2015.d000.s014.t007	1) A person who requires medical care
semeval2015.d000.s014.t008	3) Elevation especially above sea level or above the earth's surface.
semeval2015.d000.s014.t009	3) The vertical force exerted by a mass as a result of gravity.
semeval2015.d000.s015.t000	The most suitable dictionary definition which identifies the meaning of "given" among the given options is:2) DedicateIt
semeval2015.d000.s015.t001	2) On one occasion.
semeval2015.d000.s015.t002	The correct definition is:2) (used of count nouns) each and all of the members of a group considered singly and
semeval2015.d000.s015.t003	2) A period of seven consecutive days
semeval2015.d000.s015.t005	3) (medicine) the passive introduction of a substance (a fluid or drug or electrolyte) into a vein or between
semeval2015.d000.s015.t006	1) Persist for a specified period of time.
semeval2015.d000.s015.t007	1) A unit of time equal to 60 seconds or 1/60th of an hour.
semeval2015.d000.s016.t000	1) Undergo meiosis.Explanation: "Reduce" in this context means to make less severe or less intense, often
semeval2015.d000.s016.t001	1) A secondary and usually adverse effect of a drug or therapy
semeval2015.d000.s016.t002	1) A person who requires medical care
semeval2015.d000.s016.t006	3) (biology) the taxonomic group whose characteristics are used to define the next higher taxon
semeval2015.d000.s016.t008	1) The act of putting a liquid into the body by means of a syringe
semeval2015.d000.s016.t010	1) Care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury)
semeval2015.d000.s017.t000	The most suitable dictionary definition which identifies the meaning of "given" among the given options is:2) Dedicate
semeval2015.d000.s017.t001	1) The learned profession that is mastered by graduate training in a medical school and that is devoted to preventing or alleviating or
semeval2015.d000.s017.t002	2) Stop (someone or something) from doing something or being in a certain state.
semeval2015.d000.s017.t004	The most suitable dictionary definition which identifies the meaning of "fluids" is:2) Continuous amorphous matter that tends
semeval2015.d000.s017.t005	2) Stop (someone or something) from doing something or being in a certain state.
semeval2015.d000.s017.t006	2) Depletion of bodily fluids
semeval2015.d000.s017.t008	The most suitable dictionary definition which identifies the meaning of "given" is:4) Break down, literally or metaphorically
semeval2015.d000.s017.t009	The most suitable dictionary definition which identifies the meaning of "before" is:3) Earlier in time; previouslyThis definition
semeval2015.d000.s017.t010	2) Behind or in the rear
semeval2015.d000.s017.t011	5) The quantity of an active agent (substance or radiation) taken in or absorbed at any one time
semeval2015.d000.s018.t000	2) A manner of dealing with something artistically
semeval2015.d000.s018.t001	The most suitable definition is:3) Cause to be slowed down or delayedThis definition accurately describes the meaning of "delay
semeval2015.d000.s018.t002	The most suitable definition for "discontinued" is:2) Put an end to a state or an activityIn this
semeval2015.d000.s018.t003	5) The quantity of an active agent (substance or radiation) taken in or absorbed at any one time.
semeval2015.d000.s018.t004	1) Undergo meiosis"Reduced" is a verb that means to decrease in quantity or amount. In the
semeval2015.d000.s018.t005	2) The semantic role of an entity that is not the agent but is directly involved in or affected by the happening denoted
semeval2015.d000.s018.t006	1) The act of estimating the number of red and white corpuscles in a blood sample.
semeval2015.d000.s018.t007	2) Not normal; not typical or usual or regular or conforming to a norm.
semeval2015.d000.s018.t008	1) Undergo (as of injuries and illnesses).
semeval2015.d000.s018.t009	2) Established beyond doubt or question; definitely known.
semeval2015.d000.s018.t010	2) Belonging to the distant past
semeval2015.d000.s018.t011	The most suitable definition is:2) Any adverse and unwanted secondary effectThis definition is the most accurate, as it accurately
semeval2015.d000.s019.t002	3) the exercise of the legal right to enjoy the benefits of owning property.
semeval2015.d000.s019.t003	1) A person who requires medical care
semeval2015.d000.s019.t004	2) Not extreme
semeval2015.d000.s019.t005	5) Intensely or extremely bad or unpleasant in degree or quality.
semeval2015.d000.s019.t007	2) A source of difficulty
semeval2015.d000.s020.t000	2) (comparative of `much' used with mass nouns)
semeval2015.d000.s020.t001	2) Knowledge acquired through study or experience or instruction
semeval2015.d000.s020.t002	1) Perceive (an idea or situation) mentallyThis definition best matches the dictionary definition of "see".
semeval2015.d000.s020.t004	1) An artifact that has been created by someone or some process.
semeval2015.d000.s020.t006	1) The actions and activities assigned to or required or expected of a person or groupThe correct answer is the one that
semeval2015.d000.s022.t000	2) Expressing that the subject of the sentence has the semantic function of actor: "Hemingway favors active constructions"
semeval2015.d000.s022.t001	2) Material produced by or used in a reaction involving changes in atoms or molecules
semeval2015.d000.s022.t003	2) An animistic religion of northern Asia having the belief that the mediation between the visible and the spirit worlds is effected by
semeval2015.d000.s022.t004	3) The branch of medicine that deals with the diagnosis and (nonsurgical) treatment of diseases of the internal organs (
semeval2015.d000.s022.t005	3) Mark for deletion, rub off, or erase
semeval2015.d000.s022.t006	2) A cell that is a structural and functional unit of a plant
semeval2015.d000.s022.t007	3) Act as a barrier between; stand between
semeval2015.d000.s023.t000	1) The dead body of a human being.The sentence is describing the conversion of pemetrexed into an active form
semeval2015.d000.s023.t001	The most suitable dictionary definition which identifies the meaning of "converted" is:3) Score an extra point or points after touchdown
semeval2015.d000.s023.t002	The most suitable dictionary definition which identifies the meaning of "active" among the given options is:9) Disposed to take
semeval2015.d000.s023.t003	1) The visual appearance of something or someone.
semeval2015.d000.s023.t004	The most suitable dictionary definition which identifies the meaning of "blocks" among the given options is:4) the ground on which
semeval2015.d000.s023.t007	The most suitable dictionary definition which identifies the meaning of "involved" among the given options is:4) Emotionally
semeval2015.d000.s023.t008	3) Cause to happen, occur or exist
semeval2015.d000.s023.t010	The most suitable dictionary definition which identifies the meaning of "building blocks" is:1) A single undivided natural thing
semeval2015.d000.s023.t013	2) Of or relating to the science of genetics.
semeval2015.d000.s023.t014	3) The tangible substance that goes into the makeup of a physical object.
semeval2015.d000.s023.t015	5) (biology) the basic structural and functional unit of all organisms; they may exist as independent units of life (as
semeval2015.d000.s024.t000	3) Consider in detail and subject to an analysis in order to discover essential features or meaning
semeval2015.d000.s025.t000	2) A manner of dealing with something artistically
semeval2015.d000.s025.t004	3) Consider in detail and subject to an analysis in order to discover essential features or meaning
semeval2015.d000.s025.t005	1) of a clause) capable of standing syntactically alone as a complete sentence
semeval2015.d000.s025.t006	1) A written document describing the findings of some individual or group.The correct answer is 1) A written document describing
semeval2015.d000.s025.t007	1) A person who requires medical care.
semeval2015.d000.s025.t012	2) At or in the front
semeval2015.d000.s026.t000	3) A symptom caused by an illness or a drug.
semeval2015.d000.s026.t002	2) Be comparable
semeval2015.d000.s027.t000	1) Care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury)
semeval2015.d000.s027.t001	5) (biology) the basic structural and functional unit of all organisms; they may exist as independent units of life (as
semeval2015.d000.s027.t003	4) An outward appearanceIn the context of the given sentence, "effects" refers to the results or outcomes of the
semeval2015.d000.s027.t004	2) Be comparable"Compared" is used to indicate that the two things being compared are in the same category,
semeval2015.d000.s027.t006	1) The learned profession that is mastered by graduate training in a medical school and that is devoted to preventing or alleviating or
semeval2015.d000.s027.t007	1) A written document describing the findings of some individual or groupIn this context, the most suitable definition is "A
semeval2015.d000.s027.t008	4) Contain as a partThis definition is the most suitable as it accurately identifies the meaning of "involving
semeval2015.d000.s027.t009	2) The semantic role of an entity that is not the agent but is directly involved in or affected by the happening denoted
semeval2015.d000.s027.t010	2) To a restricted area of the body.
semeval2015.d000.s027.t011	4) At a higher level in training or knowledge or skill.
semeval2015.d000.s027.t016	2) A verb tense that expresses actions or states in the past
semeval2015.d000.s028.t001	The most suitable dictionary definition which identifies the meaning of "compared" among the given options is:2) Be comparable
semeval2015.d000.s028.t003	3) The branch of medicine that deals with the diagnosis and (nonsurgical) treatment of diseases of the internal organs (
semeval2015.d000.s028.t005	9) Applying the mind to learning and understanding a subject (especially by reading).
semeval2015.d000.s028.t006	1) Connect closely and often incriminatingly
semeval2015.d000.s028.t007	2) The semantic role of an entity that is not the agent but is directly involved in or affected by the happening denoted
semeval2015.d000.s028.t012	2) A verb tense that expresses actions or states in the past
semeval2015.d000.s029.t000	1) A written document describing the findings of some individual or group.
semeval2015.d000.s029.t001	1) (of a clause) capable of standing syntactically alone as a complete sentence.
semeval2015.d000.s029.t002	The most suitable dictionary definition which identifies the meaning of "measure" among the given options is:5) How much there is
semeval2015.d000.s029.t004	The most suitable dictionary definition is:1) For an extended time or at a distant time.In the given sentence, the
semeval2015.d000.s029.t005	1) A person who requires medical care.
semeval2015.d000.s029.t006	The most suitable dictionary definition is:2) Continue in existence after (an adversity, etc.)This definition best matches the context
semeval2015.d000.s030.t000	3) Something that aids or promotes well-being
semeval2015.d000.s030.t001	7) Make visible or noticeable
semeval2015.d000.s030.t002	The most suitable dictionary definition which identifies the meaning of "studies" among the given options is:9) Applying the mind
semeval2015.d000.s031.t000	2) Become bigger or greater in amount.
semeval2015.d000.s031.t001	2) Something that survives.
semeval2015.d000.s031.t002	1) An instance or single occasion for some event.
semeval2015.d000.s031.t003	2) The semantic role of an entity that is not the agent but is directly involved in or affected by the happening denoted
semeval2015.d000.s032.t000	1) A person who requires medical care
semeval2015.d000.s032.t002	2) Continue in existence after (an adversity, etc.)
semeval2015.d000.s032.t003	4) An average of n numbers computed by adding some function of the numbers and dividing by some function of n.Explanation:
semeval2015.d000.s032.t004	The most suitable dictionary definition which identifies the meaning of "months" is:2) One of the twelve divisions of the calendar
semeval2015.d000.s032.t005	2) Be comparable
semeval2015.d000.s032.t006	The most suitable definition is:2) One of the twelve divisions of the calendar year.This definition is the most accurate and
semeval2015.d000.s033.t000	2) A manner of dealing with something artistically
semeval2015.d000.s033.t001	1) A person who requires medical care
semeval2015.d000.s033.t002	5) (biology) the basic structural and functional unit of all organisms; they may exist as independent units of life (as
semeval2015.d000.s033.t005	4) Able to accomplish a purpose; functioning effectively
semeval2015.d000.s034.t000	1) A person who requires medical care.
semeval2015.d000.s034.t003	2) A verb tense that expresses actions or states in the past
semeval2015.d000.s034.t004	3) Relating to or constituting the middle value of an ordered set of values (or the average of the middle two
semeval2015.d000.s034.t005	2) Something that survives
semeval2015.d000.s034.t006	8) The continuum of experience in which events pass from the future through the present to the past
semeval2015.d000.s034.t007	The most suitable dictionary definition for "months" is:2) One of the twelve divisions of the calendar yearIn this
semeval2015.d000.s034.t008	2) Be comparable.
semeval2015.d000.s034.t009	The correct answer is 1) A time unit of approximately 30 days.In the sentence, "months" is used
semeval2015.d000.s035.t000	1) A person who requires medical care.This definition is the most suitable as "patients" refers to individuals who are receiving
semeval2015.d000.s035.t004	1) The time that has elapsed.
semeval2015.d000.s035.t005	2) Relating to or constituting the most frequent value in a distribution
semeval2015.d000.s035.t006	The most suitable dictionary definition which identifies the meaning of "survival" is:1) A state of surviving; remaining
semeval2015.d000.s035.t007	7) A period of time considered as a resource under your control and sufficient to accomplish something
semeval2015.d000.s035.t008	The most suitable dictionary definition is:1) A time unit of approximately 30 daysThis definition is the most relevant to
semeval2015.d000.s035.t009	8) Any number of entities (members) considered as a unit.
semeval2015.d000.s036.t000	3) By contrast; on the other hand
semeval2015.d000.s036.t001	9) the legislative hall where members debate and vote and conduct other business.
semeval2015.d000.s036.t002	1) A person who requires medical care
semeval2015.d000.s036.t003	2) A small zodiacal constellation in the northern hemisphere; between Leo and Gemini
semeval2015.d000.s036.t005	3) Act physically on; have an effect upon
semeval2015.d000.s036.t008	2) Holding securities or commodities in expectation of a rise in prices
semeval2015.d000.s036.t009	The most suitable dictionary definition is:1) A state of surviving; remaining aliveThis definition aligns with the context of
semeval2015.d000.s036.t010	The most suitable definition of "times" from the given options is:3) The fourth coordinate that is required (along with
semeval2015.d000.s037.t000	The most suitable definition which identifies the meaning of "contrast" among the options is:4) The opposition or dissimilarity
semeval2015.d000.s037.t001	2) The semantic role of an entity that is not the agent but is directly involved in or affected by the happening denoted
semeval2015.d000.s037.t002	2) A small zodiacal constellation in the northern hemisphere; between Leo and Gemini
semeval2015.d000.s037.t003	3) Act physically on; have an effect upon.
semeval2015.d000.s037.t006	2) (primarily spatial sense) having little length or lacking in length
semeval2015.d000.s037.t007	1) A state of surviving; remaining alive
semeval2015.d000.s037.t008	3) The fourth coordinate that is required (along with three spatial dimensions) to specify a physical event.
semeval2015.d001.s000.t000	2) Relating to or having ability to think in or work with numbers
semeval2015.d001.s000.t001	1) Use as a basis for; found on
semeval2015.d001.s001.t001	4) having capacity or ability.
semeval2015.d001.s001.t002	7) Create by artistic means
semeval2015.d001.s001.t003	3) Unornamented
semeval2015.d001.s001.t004	The most suitable dictionary definition which identifies the meaning of "operations" is:4) calculation by mathematical methods
semeval2015.d001.s001.t006	2) Having a three-dimensional form or appearance
semeval2015.d001.s002.t000	2) At the present moment
semeval2015.d001.s002.t002	3) Incapable of being avoided or prevented
semeval2015.d001.s002.t003	5) Be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about.
semeval2015.d001.s002.t004	5) Seek or achieve an end by using to one's advantage.
semeval2015.d001.s004.t002	2) At the present moment
semeval2015.d001.s004.t003	3) Take or consume (regularly or habitually)
semeval2015.d001.s004.t004	2) (informal) small and of little importance
semeval2015.d001.s004.t005	2) Relating to or having ability to think in or work with numbers
semeval2015.d001.s005.t000	The most suitable dictionary definition which identifies the meaning of "Here" among the given options is:4) To this place (
semeval2015.d001.s005.t001	The most suitable dictionary definition which identifies the meaning of "main" among the given options is:1) of a clause)
semeval2015.d001.s005.t002	The most suitable definition is:10) A pane of glass in a window.This definition directly refers to a glass window,
semeval2015.d001.s006.t000	The most suitable dictionary definition which identifies the meaning of "main" is:2) Of force; of the greatest possible intensity
semeval2015.d001.s006.t001	10) a pane of glass in a window
semeval2015.d001.s007.t000	The most suitable dictionary definition which identifies the meaning of "main" among the given options is:3) Most important element
semeval2015.d001.s007.t001	10) a pane of glass in a window
semeval2015.d001.s007.t002	4) Have its essential character; be comprised or contained in; be embodied in
semeval2015.d001.s007.t003	2) A device that displays signals on a computer screen.
semeval2015.d001.s007.t005	The most suitable dictionary definition is:2) Having a three-dimensional form or appearance
semeval2015.d001.s008.t000	1) (in writing) see below
semeval2015.d001.s008.t001	The most suitable dictionary definition which identifies the meaning of "find" among the given options is:7) Find out, learn
semeval2015.d001.s008.t002	1) Any stimulating information or event; acts to arouse action
semeval2015.d001.s008.t004	The most suitable dictionary definition is:2) Write by means of a keyboard with types.This definition is commonly used in programming
semeval2015.d001.s008.t005	The most suitable dictionary definition which identifies the meaning of "functions" is:2) A vaguely specified social event
semeval2015.d001.s008.t006	The most suitable definition for "do" is:4) Arrange attractivelyThis definition is the only one that refers
semeval2015.d001.s008.t007	2) The procedure of calculating; determining something by mathematical or logical methods
semeval2015.d001.s009.t000	2) Hunt or look for; want for a particular reason.
semeval2015.d001.s009.t001	4) Know and comprehend the nature or meaning of
semeval2015.d001.s009.t002	7) Move in an agitated mannerIn this sentence, the most suitable definition is "Move in an agitated manner
semeval2015.d001.s009.t003	2) (comparative and superlative of `well') wiser or more advantageous and hence advisable
semeval2015.d001.s009.t004	1) A separate and self-contained entity
semeval2015.d001.s009.t005	7) Behave in a certain manner; show a certain behavior; conduct or comport oneself
semeval2015.d001.s009.t006	3) Make real or concrete; give reality or substance to.
semeval2015.d001.s009.t007	1) Any stimulating information or event; acts to arouse action.
semeval2015.d001.s009.t008	1) Change religious beliefs, or adopt a religious belief.The word "converted" here means to change one's religious beliefs
semeval2015.d001.s009.t010	4) absolutely essential
semeval2015.d001.s009.t011	5) Be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about
semeval2015.d001.s010.t000	1) Use as a basis for; found on
semeval2015.d001.s010.t004	The most suitable definition for "hard" among the given options is:6) Not easy; requiring great physical or mental effort
semeval2015.d001.s011.t001	2) In a close manner.
semeval2015.d001.s011.t002	2) Be oriented in a certain direction, often with respect to another reference point; be opposite to.
semeval2015.d001.s011.t003	1) Precisely so
semeval2015.d001.s011.t004	3) Resembling or similar; having the same or some of the same characteristics; often used in combination.This definition
semeval2015.d001.s012.t000	5) The arithmetic operation of summing; calculating the sum of two or more numbers.
semeval2015.d001.s012.t001	The most suitable definition of "subtraction" is:1) The act of subtracting (removing a part from the
semeval2015.d001.s012.t002	The most suitable dictionary definition which identifies the meaning of "multiplication" is:3) An arithmetic operation that is the inverse
semeval2015.d001.s012.t003	The most suitable dictionary definition which identifies the meaning of "division" among the given options is:4) The act of dividing
semeval2015.d001.s013.t000	8) One possessing or exercising power or influence or authority
semeval2015.d001.s013.t001	The most suitable dictionary definition which identifies the meaning of "use" among the given options is:3) Take or consume (
