senseval2.d000.s000.t000	In the context of the given sentence, the word "art" refers to a skill or a practice.
semeval2013.d007.s017.t005	According to the dictionary, "levels" can be defined as:1. A horizontal line or plane that marks the top or
semeval2013.d007.s018.t000	Definition: Arsenic (n.) - a brittle, silvery-white, highly toxic metalloid element, used in various
semeval2013.d007.s018.t001	Here is a dictionary definition for "phosphorus":"Phosphorus (n.) - a chemical element of the non
semeval2013.d007.s019.t000	A dictionary definition of "Arsenic" is:"Arsenic (n.) 1. A chemical element of the group
semeval2013.d007.s019.t002	The word "behavior" in the sentence refers to: 1. The way in which someone or something acts, behaves,
semeval2013.d007.s019.t003	Here's a dictionary definition of "phosphorus":Phosphorus (noun): a chemical element of the group V of
semeval2013.d007.s020.t000	Result (noun) : something that happens or is produced as a consequence of a particular action or set of circumstances.
semeval2013.d007.s020.t001	Organisms: 1. A living thing, especially a single-celled or multicellular living thing that grows, reproduces
semeval2013.d007.s020.t002	Dictionary definition: "hard time" - a period of difficulty or hardship.
semeval2013.d007.s020.t003	Chemical element: a substance that consists of atoms with the same number of protons in the atomic nucleus.
semeval2013.d007.s021.t000	Definition: Arsenic (noun): a brittle, black, odorless, tasteless, and toxic chemical element of the
semeval2013.d007.s021.t001	Phosphorus: 1. a chemical element of the periodic table, occurring naturally in many minerals and used in the manufacture
semeval2013.d007.s022.t002	The word "concentrations" refers to the amount or degree of a substance (in this case, arsenic)
semeval2013.d007.s022.t003	Arsenic: A naturally occurring element with the symbol As, a metalloid that is toxic to most living organisms in high concentrations
semeval2013.d007.s023.t001	Phosphorus: a soft, white, waxy, brittle, odorless, tasteless, and highly reactive chemical element
semeval2013.d007.s023.t002	Here's a dictionary definition of "arsenic":Arsenic (noun): a chemical element of the group V of the
semeval2013.d007.s023.t003	The dictionary definition of "possibility" is:"A state or condition that may or may not occur or be the case."
semeval2013.d007.s023.t005	A dictionary definition for "arsenic" is: A metallic element of the halogen group, with the atomic number
semeval2013.d007.s023.t006	The dictionary definition of "Earth" is:1. The third planet in the solar system, and the only known planet on
semeval2013.d007.s023.t007	A planet: A large, spherical celestial body that orbits a star, typically having sufficient mass to assume a hydrostatic equilibrium shape
semeval2013.d007.s023.t008	Natural satellite of the Earth, typically having a relatively small size and orbiting the Earth.
semeval2013.d007.s023.t009	Here's a dictionary definition of "arsenic":Arsenic (noun): A chemical element with the symbol As, atomic number
semeval2013.d007.s024.t002	According to the Oxford English Dictionary, the word "idea" is defined as:1. A thought or conception of something in
semeval2013.d007.s024.t003	A dictionary definition of "arsenic" is: 1. A brittle, white or grayish-white, highly toxic,
semeval2013.d007.s024.t004	The word "phosphorus" in the sentence refers to a chemical element with the symbol P, a nonmetal of the
semeval2013.d007.s024.t005	Example: A person, thing, or situation that illustrates or represents a particular concept, principle, or situation.
semeval2013.d007.s025.t000	Arsenic (noun): a chemical element of the group V in the periodic table, with the symbol As, having the atomic
semeval2013.d007.s025.t001	The dictionary definition of "times" is: 1. A period of time; an era.
semeval2013.d007.s025.t002	The dictionary definition of "Earth" is: 1. The planet on which humans live.
semeval2013.d007.s026.t000	Definition: 1. A method or procedure for doing something; a technique or approach.2. Different means or methods of
semeval2013.d007.s026.t001	Definition: 1. a process or activity that gives something meaning or significance.2. a feeling of happiness or fulfillment.
semeval2013.d007.s026.t002	According to Merriam-Webster Dictionary, "life" is defined as:1. a living organism2.
semeval2013.d007.s026.t003	The dictionary definition of "Earth" is:1. The third planet from the Sun in the solar system, on which humans
semeval2013.d007.s026.t004	Part (noun): 1. A portion or share of something (such as a thing, a feeling, or a group
semeval2013.d007.s026.t006	A team is a group of people working together as a coordinated unit.
semeval2013.d008.s000.t000	Routine: A regular and predictable pattern of activities, especially one that is performed at fixed times or in a fixed order.
semeval2013.d008.s001.t000	"Support" can be defined as:1. To provide assistance or backing for something or someone, especially in a formal or
semeval2013.d008.s001.t003	Support or assistance, especially in a cause or activity.
semeval2013.d008.s002.t000	The dictionary definition of "crime" is:1. An act or omission that is contrary to law, right, or morality
semeval2013.d008.s002.t001	According to the Oxford English Dictionary, "worry" can be defined as:"Worry (verb): to feel anxious or
semeval2013.d008.s003.t000	"Brazil" refers to the largest country in both South America and the Latin American region, a federal republic in the southeastern part
semeval2013.d008.s003.t001	The word "United States" refers to the country of the United States of America.
semeval2013.d008.s004.t000	Definition: Results or conclusions drawn from investigation, research, or observation.
semeval2013.d008.s004.t001	The word "poll" in the sentence means a survey or questionnaire distributed to a sample of people in order to gather information or
semeval2013.d008.s004.t002	A nation or state, especially one recognized as a sovereign entity by other countries.
semeval2013.d008.s005.t000	A poll is a survey of public opinion, especially one conducted by mail or in person.
semeval2013.d008.s005.t001	Changes: * A modification or alteration of something.
semeval2013.d008.s005.t002	Here's a dictionary definition of "attitude" from a general dictionary:"Attitude: a feeling or attitude of mind
semeval2013.d008.s006.t000	Things: noun - objects, substances, or entities.
semeval2013.d008.s006.t001	"Results" (noun) refers to the outcomes, consequences, or effects of an action or a set of actions.
semeval2013.d008.s006.t002	A year is a period of 12 months.
semeval2013.d008.s006.t003	A poll: A poll is a survey or questionnaire sent to a group of people to gather information or opinions.
semeval2013.d008.s007.t001	The word "mood" in the sentence "The first is Latin America's fairly sunny mood" can be defined as:
semeval2013.d008.s008.t000	In this context, "second" refers to the ordinal number indicating the position or ranking of something, specifically referring to the second
semeval2013.d008.s008.t001	Stability: The state or quality of being stable; firmness, steadiness, or consistency in position, condition, or
semeval2013.d008.s008.t002	The word "attitudes" in the sentence refers to:1. A feeling or opinion, especially one that is not easily
semeval2013.d008.s008.t004	Institution: 1. A set of established practices, customs, or rules that govern a particular activity, organization, or
semeval2013.d008.s009.t000	"Support" can be defined as:1. The act of helping or enabling something to continue or be maintained.2.
semeval2013.d008.s009.t002	A country is a large area of land with its own government and people.
semeval2013.d008.s009.t003	South America: The southern part of the American continents.
semeval2013.d008.s009.t004	A table in this context is a chart or a summary of data, typically in a written or printed format, often used to
semeval2013.d008.s010.t003	The word "year" in this sentence refers to a period of 12 consecutive months, typically used to measure time.
semeval2013.d008.s010.t004	Support (noun): The act of giving help, assistance, or backing to someone or something, especially in a cause or activity
semeval2013.d008.s010.t006	Low: (adjective) of little or moderate size, amount, or degree; not high or great.
semeval2013.d008.s010.t007	A unit of time, equivalent to 365.25 days.
semeval2013.d008.s011.t001	The word "economy" in this sentence refers to the system of production, distribution, and consumption of goods and services within
semeval2013.d008.s011.t002	The word "drop" in this context is a noun that refers to a significant decrease or decline in the value, quantity,
semeval2013.d008.s011.t003	The word "output" can be defined as:"The total amount of something produced or manufactured by a company, organization, or
semeval2013.d008.s011.t004	Year: A period of 12 months, constituting a single cycle of the calendar.
semeval2013.d008.s012.t000	Half: one of two equal parts of something.
semeval2013.d008.s012.t001	"Respondents" refers to people who participate in a survey or investigation.
semeval2013.d008.s012.t003	The word "Brazil" in this sentence refers to the country.
semeval2013.d008.s012.t005	A country is a large area of land with a permanent population, government, and set of laws that is recognized as an independent
semeval2013.d008.s012.t006	The dictionary definition is:1. A member of a political party, especially in the United States, that advocates for democratic principles
semeval2013.d008.s012.t007	The dictionary definition of "average" in this context is:"A value that is found halfway between the highest and lowest values in
semeval2013.d008.s012.t008	A chart is a diagram or graphic representation of data, especially one that shows a series of quantities over a period of time or
semeval2013.d008.s013.t000	Respondents: People who are interviewed or surveyed in order to gather information or opinions.
semeval2013.d008.s013.t002	A nation or state, especially the one in which a person is a citizen.
semeval2013.d008.s013.t003	A dictionary definition of "democracy" is: 1. A system of government in which power is vested in the people
semeval2013.d008.s013.t005	A figure is a person or thing that is represented or depicted in a picture, drawing, or diagram.
semeval2013.d008.s013.t006	A year: a period of 12 months.
semeval2013.d008.s013.t007	Increase: A rise or growth in amount, degree, or extent; an addition.
semeval2013.d008.s013.t008	A chart: 1. A diagram or graph used to show information in a visual form, typically consisting of a series of
semeval2013.d008.s014.t000	The word "confidence" in the given sentence is defined as:A feeling of trust or faith in the ability of someone or
semeval2013.d008.s014.t001	A dictionary definition of "country" in this context is: A nation or state with defined borders, a population, and
semeval2013.d008.s014.t002	The dictionary definition of "Congress" in this context is:1. A legislative assembly of elected representatives in a country, state
semeval2013.d008.s014.t003	The word "government" in this context refers to the system of institutions and officials that are responsible for the administration of a country
semeval2013.d008.s014.t004	Here's a dictionary definition for "year":1. A period of 365 days in a year.
semeval2013.d008.s014.t005	The dictionary definition of "cases" in this context is:- Examples of things that are being discussed or considered.
semeval2013.d008.s015.t000	A decade is a period of ten years.
semeval2013.d008.s015.t001	Woes, in this context, refers to troubles or difficulties, especially those of a severe or prolonged nature.
semeval2013.d008.s015.t003	According to the Oxford English Dictionary, the word "support" can be defined as:1. To hold up or keep something
semeval2013.d008.s016.t001	According to the Oxford English Dictionary, "countries" is defined as:"A state, nation, or territory with defined boundaries,
semeval2013.d008.s016.t002	According to the Oxford English Dictionary, "recession" is defined as:1. A period of economic decline or contraction,
semeval2013.d008.s016.t003	Recovery (noun) - The act or process of becoming or becoming again in good health, prosperity, or a strong position
semeval2013.d008.s017.t001	The word "safety net" in the given sentence refers to a social program or institution that provides financial or other forms of
semeval2013.d008.s018.t002	A week: A period of seven consecutive days.
semeval2013.d008.s018.t003	Proportion (noun): 1. A part of a whole in relation to the whole.
semeval2013.d008.s018.t005	Year: a period of 365 days in a year in the Gregorian calendar.
semeval2013.d008.s019.t000	The dictionary definition of "mood" in this context is:1. A feeling or atmosphere of a place or situation;
semeval2013.d008.s019.t001	A country: a large area of land under the control of a single government.
semeval2013.d008.s019.t002	A country is a large area of land with its own government, people, and laws.
semeval2013.d008.s019.t003	A chart: A diagram or table showing a series of data or information, typically presented in a graphical format.
semeval2013.d008.s020.t000	The dictionary definition of "Brazil" in the given sentence is:Brazil (noun): a country in South America, bordering
semeval2013.d008.s020.t003	The dictionary definition of "president" in this context is: 1. The person who is the head of a republic
semeval2013.d008.s020.t004	The dictionary definition for "sense" in this context is:1. a feeling or perception of something, especially a feeling of
semeval2013.d008.s020.t005	Here's a dictionary definition of "progress":1. The process of improvement or advancement, especially in a gradual and continuous manner
semeval2013.d008.s021.t002	A recession is a period of economic decline, typically defined as a significant decrease in economic activity, often measured by a decline in
semeval2013.d008.s021.t003	According to the dictionary, "crime" is defined as:1. An act or omission that is considered illegal or immoral,
semeval2013.d008.s022.t000	A unit of measurement of duration, extent, or degree; a specific point or period in a sequence or process.
semeval2013.d008.s022.t001	A poll is a sample of people selected to provide information or opinions about a particular issue or topic.
semeval2013.d008.s022.t002	Respondents: People or individuals who are being questioned or surveyed in a study, investigation, or survey.
semeval2013.d008.s022.t004	The dictionary definition of "whole" in this context is: 1. Complete; entire; undivided; not broken
semeval2013.d008.s022.t005	The dictionary definition of "crime" is:1. An act or omission that constitutes an offense, especially one that is punishable
semeval2013.d008.s022.t007	A noun that refers to an issue or difficulty that causes worry or concern.
semeval2013.d008.s022.t008	A nation or state.
semeval2013.d008.s022.t009	A chart is a diagram or table that displays information in a visual format, often using graphs, tables, or other visual elements
semeval2013.d008.s023.t000	A relative (noun): A person related by blood, marriage, or adoption to another person, especially a family member.
semeval2013.d008.s023.t001	Victims: People who have been harmed or injured by someone else's actions.
semeval2013.d008.s023.t002	According to Merriam-Webster Dictionary, "crime" is defined as:1. An act or omission that is
semeval2013.d008.s023.t003	A year: a period of 12 months, or a year is the time it takes the Earth to orbit the Sun.
semeval2013.d008.s023.t004	A year is a period of 12 months.
semeval2013.d008.s023.t005	According to the dictionary, "figure" can be defined as:* A number or quantity, especially a precise or calculated one
semeval2013.d008.s024.t001	"Support" is defined as: 1. The act of helping or encouraging someone or something.
semeval2013.d008.s024.t004	Respondents: People who are interviewed or surveyed as part of a study, survey, or research.
semeval2013.d008.s024.t007	According to various dictionaries, a possible definition of "development" in this context is:- Oxford English Dictionary: "the process
semeval2013.d008.s024.t008	A chart is a diagram or graph used to display data, statistics, or information in a visual format.
semeval2013.d008.s025.t001	A system (noun) refers to a set of interrelated components or elements that work together to form a complex whole, a
semeval2013.d008.s025.t002	A country is: 1. A piece of land with defined borders and government.
semeval2013.d008.s025.t003	Year: A period of 12 months, typically used to measure time.
semeval2013.d008.s026.t000	"Respondents" refers to people who are being questioned or surveyed in a study or investigation.
semeval2013.d008.s026.t002	According to the Oxford English Dictionary, "view" can be defined as:1. A particular attitude or opinion about something.
semeval2013.d008.s026.t004	The dictionary definition of "president" is: 1. The person who heads a republic or other state, especially the
semeval2013.d008.s026.t005	The dictionary definition of "companies" in this context is:1. A business organization, especially one that is owned and controlled
semeval2013.d008.s027.t000	The word "Brazil" in the given sentence refers to a country.
semeval2013.d008.s027.t001	Country: a large area of land with a permanent population, government, and set of institutions that govern it.
semeval2013.d008.s027.t002	The dictionary definition of "leadership" is:1. The act of guiding or directing others, especially in a country or
semeval2013.d008.s027.t004	Respondents: People or individuals who are being questioned or surveyed in a research study or investigation.
semeval2013.d008.s027.t005	A year is a period of 12 consecutive months, typically 365 days, used as a unit of time.
semeval2013.d008.s027.t006	A country in North America, comprising fifty states and various territories, that is a federal republic with a presidential system of government.
semeval2013.d008.s027.t007	The dictionary definition for "year" in this context is:A period of 12 months, constituting a single cycle of
semeval2013.d008.s027.t009	A unit of time, equivalent to 365.25 days, used to measure the passage of time.
semeval2013.d008.s028.t000	The United States is a noun referring to the country located in North America, consisting of 50 states and a federal district.
semeval2013.d008.s028.t001	A country: A large area of land and people living in it under one government.
semeval2013.d008.s028.t002	Respondents: 1. (Noun) People who are questioned or surveyed in a research study or investigation.
semeval2013.d008.s028.t006	The word "distinction" in the given sentence refers to:"A difference or a notable difference; a mark of distinction;
semeval2013.d009.s000.t001	The word "law" in the sentence refers to:1. A set of rules or principles of conduct for a particular activity
semeval2013.d009.s000.t003	According to the dictionary, "court" can be defined as:1. A group of judges presiding in a case or
semeval2013.d009.s000.t004	The word "case" in the sentence refers to:A particular instance or example of a thing that is being dealt with or
semeval2013.d009.s001.t000	The dictionary definition of "day" is:1. A period of 24 hours, reckoned from one midnight to the
semeval2013.d009.s001.t001	The word "Supreme Court" refers to: "A highest court in the judicial system of a country, especially the highest
semeval2013.d009.s001.t002	The word "question" in the given sentence is defined as: 1. A person or thing that is asked or considered
semeval2013.d009.s001.t005	The word "law" in the sentence is defined as:1. A set of rules, principles, or regulations that govern
semeval2013.d009.s001.t006	The dictionary definition of "justices" is: 1. A judge or a person who administers justice.
semeval2013.d009.s001.t007	A dinner, in this context, refers to a meal eaten in the evening, typically a formal meal served in a restaurant or
semeval2013.d009.s001.t009	The word "case" in the sentence refers to a matter or issue that is being considered or decided by a court, such
semeval2013.d009.s002.t002	In the given sentence, "justices" refers to judges or magistrates who have the power to decide on cases or controversies
semeval2013.d009.s002.t003	According to the dictionary, "conference" can be defined as:1. A meeting of people, especially for discussion or negotiation
semeval2013.d009.s002.t004	Petitions: 1. A written request or appeal to a person or authority, especially one presented formally and officially.2
semeval2013.d009.s002.t005	According to the dictionary, "review" can be defined as:* To examine or inspect something carefully and thoroughly, especially in
semeval2013.d009.s003.t000	"Cases" can refer to instances or examples of something, often used to describe a series of events, situations, or problems
semeval2013.d009.s003.t002	A lawsuit or a claim or petition presented to a court for judgment or decision.
semeval2013.d009.s003.t003	The word "states" in this sentence refers to a constituent political entity of the United States.
semeval2013.d009.s003.t005	Overhaul: 1. To thoroughly examine and reform, especially a system, process, or organization, often in order to
semeval2013.d009.s003.t006	Congress: - a legislative assembly of the US, comprising two houses (the House of Representatives and the Senate), which makes
semeval2013.d009.s003.t007	A year: 1. A period of 365 days in the Gregorian calendar, the international standard calendar used in most
semeval2013.d009.s003.t008	Here's a dictionary definition of "law" from Merriam-Webster:Law (noun)1. A rule
semeval2013.d009.s003.t009	A rallying cry is: 1. A phrase or slogan that inspires or motivates people to action, especially in a particular
semeval2013.d009.s004.t000	Definition: - Justices (noun): The judges of a court, especially a high court such as a supreme court.
semeval2013.d009.s004.t001	"Suit" can be defined as a noun that refers to a formal or official complaint, especially one brought against an individual or
semeval2013.d009.s004.t002	A unit of time, equal to 60 minutes.
semeval2013.d009.s004.t003	Argument: a formal discussion or debate, especially one in a court of law, in which a case is presented and evidence is
semeval2013.d009.s004.t004	March: - A month of the Gregorian calendar, the third month of the year, beginning on the 1st
semeval2013.d009.s004.t006	"Race" in this context refers to an election or contest for the presidency.
semeval2013.d009.s004.t007	"Swing" (verb): to influence or have an impact on something, especially an election or a situation, by supporting
semeval2013.d009.s004.t008	Time: 1. The measure of the duration of events, actions, or processes; the length of a period.
semeval2013.d009.s004.t009	A court: A place where judges hear cases and make decisions, especially in a country or state.
semeval2013.d009.s004.t010	Definition: - Decision: The act of making a choice or the result of such a choice, especially one that has been
semeval2013.d009.s005.t001	A court: a place where a judge or judges preside over a trial or hearing, or where people who have been charged
semeval2013.d009.s005.t002	The dictionary definition of "law" in this context is: 1. A set of rules and principles that are accepted as
semeval2013.d009.s006.t003	The dictionary definition of "dinner" in this context is:1. A meal eaten in the evening.
semeval2013.d009.s007.t001	The dictionary definition of "dinner" in this context is:* A meal eaten in the evening, typically the largest meal
semeval2013.d009.s007.t002	The dictionary definition of "law" in this context is:1. A rule of conduct or practice that is generally accepted as
semeval2013.d009.s008.t000	The dictionary definition of "sponsor" is:1. A person or organization that supports or finances an event, project, or
semeval2013.d009.s008.t001	According to Merriam-Webster Dictionary, the word "giant" is defined as:1. Extremely large in
semeval2013.d009.s008.t002	The word "stake" in the given sentence refers to:1. A share or interest in something, especially a financial
semeval2013.d009.s009.t000	The dictionary definition of "dinner" in this context is:A meal eaten in the late afternoon or early evening, typically
semeval2013.d009.s009.t001	The word "Washington" in this sentence refers to the capital city of the United States.
semeval2013.d009.s009.t003	According to the Oxford English Dictionary, "hours" is defined as:"One of the units of time, equal to 60
semeval2013.d009.s009.t004	In the given sentence, "court" refers to:1. A building where a court of law is held, especially the
semeval2013.d009.s009.t005	Conference (noun): A meeting of people to discuss or decide on something, especially when it is a formal or official meeting.
semeval2013.d009.s009.t006	The word "case" in the sentence refers to a formal proceeding or trial, especially one in a court of law.
semeval2013.d009.s010.t000	The word "attendance" in the given sentence can be defined as:1. The act of being present at an event,
semeval2013.d009.s010.t001	The word "Senate" in the given sentence refers to:1. A legislative assembly in many countries, especially in the United
semeval2013.d009.s010.t002	Opponent (noun) - a person who is in opposition to someone or something.
semeval2013.d009.s011.t000	Guests: People who are invited to a social event, such as a dinner, and are present at the event.
semeval2013.d009.s011.t001	The dictionary definition of "dinner" in this context is:A meal eaten in the late afternoon or early evening, especially
semeval2013.d009.s012.t000	Justice (noun): 1. A person who decides cases in a court of law, especially a judge in a supreme or
semeval2013.d009.s012.t001	According to the Oxford English Dictionary, the word "events" is defined as:1. Occasions or happenings, especially
semeval2013.d009.s012.t002	According to the Oxford English Dictionary, "years" is defined as:1. A period of 365.2422 days
semeval2013.d009.s013.t002	According to the Oxford English Dictionary, "rules" can be defined as:1. A set of principles or standards for action
semeval2013.d009.s014.t001	The word "justices" in the given sentence refers to judges or persons who are authorized to decide cases and controversies in a
semeval2013.d009.s014.t003	The word "actions" in the given sentence can be defined as: 1. The performance of a task, function,
semeval2013.d009.s014.t004	In the given sentence, the word "justices" refers to judges or magistrates who have the power to interpret and apply
semeval2013.d009.s015.t000	A code: a set of rules or principles that govern the behavior or actions of individuals or groups within a particular organization or system
semeval2013.d009.s015.t002	A person authorized to preside over a court of law.
semeval2013.d009.s015.t003	A noun definition of "events" is: 1. A particular occurrence or happening in a particular place or time.
semeval2013.d009.s015.t004	Organization: A group of people working together to achieve a common goal or set of goals, typically having a formal structure and often
semeval2013.d009.s015.t005	A person who has the authority to make decisions in a court of law.
semeval2013.d009.s015.t006	A person who is invited to give a speech or presentation at an event.
semeval2013.d009.s015.t008	The word "program" in the sentence refers to a scheduled list of events or activities, especially those that are part of a
semeval2013.d009.s015.t009	Event: A social gathering or occurrence, especially one with a specific purpose or theme.
semeval2013.d009.s016.t000	The dictionary definition of "proximity" is:1. The state or fact of being near in space or time; adjacency
semeval2013.d009.s016.t002	The word "case" in the given sentence refers to:A dispute, controversy, or issue to be decided or settled,
semeval2013.d009.s016.t003	According to the Oxford English Dictionary, the word "company" in this context refers to a group of people or organizations working together
semeval2013.d009.s016.t004	The word "interest" in this context refers to:A feeling or desire for something; a stake or concern in a matter
semeval2013.d009.s017.t000	The dictionary definition of "breach" is: 1. A failure to comply with a duty, obligation, or standard
semeval2013.d009.s017.t002	Indifference: a lack of concern or interest in something; a neutral or impartial attitude.
semeval2013.d009.s017.t003	Here's a dictionary definition of the word "code" in the given sentence:- Code (noun): a set of rules
semeval2013.d009.s017.t004	The dictionary definition of "claims" is:1. A statement or assertion made in support of a particular point of view,
semeval2013.d009.s017.t005	The word "justices" in the sentence refers to judges of a court, particularly a high court, especially one that has
semeval2013.d009.s017.t006	According to the dictionary, "court" is defined as:1. A building where trials and other official business are held,
semeval2013.d009.s017.t007	Here's a dictionary definition of "rules":1. A principle or regulation that governs behavior or action; a set of
semeval2013.d009.s017.t008	The dictionary definition of "president" in this context is:"A person who holds the highest office in a country, organization
semeval2013.d009.s018.t000	Dictionary definition: Justices (noun): 1. A judge or judges in a court, especially in a country with
semeval2013.d009.s018.t001	Fundraiser (noun): A person or organization that organizes and promotes an event or activity to raise money for a particular
semeval2013.d009.s018.t003	A lawsuit or a matter before a court.
semeval2013.d009.s018.t004	Here's a dictionary definition of "court" in the given sentence:- A formal or official assembly of people who judge or
semeval2013.d009.s019.t000	The word "appearance" in this sentence refers to a outward show or outward appearance, especially one that is intended to make a
semeval2013.d009.s019.t001	According to the Oxford English Dictionary, "assistance" is defined as:"Help or support given to someone or something in
semeval2013.d009.s019.t002	According to the Oxford English Dictionary, "event" can be defined as:1. A particular occurrence or happening, especially a
semeval2013.d009.s019.t003	According to the Oxford English Dictionary, the word "claims" can be defined as:"plural noun: A statement or assertion
semeval2013.d009.s020.t000	"Regard" is defined as a feeling of respect or esteem for someone or something.
semeval2013.d009.s020.t002	The word "business" in the given sentence refers to the affairs or activities of a court, particularly in relation to its official
semeval2013.d009.s020.t003	The word "court" in the given sentence refers to:"A group of people, especially judges and lawyers, who work together
semeval2013.d009.s020.t004	According to Merriam-Webster Dictionary, the word "groups" is defined as:1. A number of persons
semeval2013.d009.s022.t000	According to Merriam-Webster Dictionary, the word "conservatives" can be defined as:1. a person
semeval2013.d009.s022.t001	According to Merriam-Webster Dictionary, the word "Justice" is defined as:1. The quality of being
semeval2013.d009.s022.t002	According to the Oxford English Dictionary, the word "issue" in this context means "a point or problem that is considered to
semeval2013.d009.s023.t001	Administration (noun): The act of managing or supervising something, especially an organization or government; the person or group in charge
semeval2013.d009.s023.t003	The word "law" in the given sentence is defined as:1. A system of rules, principles, or norms that
semeval2013.d009.s023.t005	In the given sentence, "level" refers to a stage or a position in a process or hierarchy.
semeval2013.d009.s024.t001	According to the dictionary, "case" can be defined as:1. A person, especially a man, who is the
semeval2013.d009.s024.t002	The word "law" in the sentence refers to:1. A set of rules or principles that are accepted as having authority
semeval2013.d009.s025.t000	A "hint" or "sign" of something.
semeval2013.d010.s000.t000	The dictionary definition of "familiarity" is:Familiarity (noun): The state of being familiar, especially with
semeval2013.d010.s001.t000	Player (noun): A person who takes part in a game or sport.
semeval2013.d010.s001.t002	Here's a dictionary definition of "games" in the given context:Games (noun): A sporting event or contest, especially
semeval2013.d010.s002.t000	Side (noun): A surface or face of something, especially one that is not the front or back.
semeval2013.d010.s002.t002	Players: 1. A person who plays a game or sport, especially a team sport, as an amateur or professional.
semeval2013.d010.s002.t003	In this context, "games" refers to a sporting event or competition, particularly a match or contest in a sport such as
semeval2013.d010.s003.t002	The word "players" in the given sentence refers to individuals who participate in a game, sport, or activity, especially as
semeval2013.d010.s003.t004	The dictionary definition of "game" in the given sentence is:A contest or competition, especially one that is formal or organized
semeval2013.d010.s003.t005	"Today" is defined as: The day of the current or immediate day, especially when used to indicate the present time
semeval2013.d010.s003.t006	San Jose is the capital and largest city of Costa Rica.
semeval2013.d010.s004.t001	The dictionary definition of "number one" is:1. The highest in rank or position in a series or list.
semeval2013.d010.s004.t003	A record: A notable or exceptional achievement or performance, especially one that is remembered as a milestone or benchmark.
semeval2013.d010.s004.t005	Here is a dictionary definition for "games":1. a sporting contest, especially one in which two or more competitors compete against
semeval2013.d010.s005.t000	Number (noun): A quantity or amount of something.
semeval2013.d010.s005.t002	Game: A contest or competition in which two or more people or teams take part, with the aim of winning or scoring more
semeval2013.d010.s006.t001	A league is a formal competition in a particular sport, especially one in which teams compete against each other in a predetermined order,
semeval2013.d010.s006.t004	Year: a period of 12 months in the Gregorian calendar, used to measure time.
semeval2013.d010.s006.t005	"League" (noun): A group of teams that compete with each other in a formal competition, typically with a system of
semeval2013.d010.s006.t007	Here is a dictionary definition of "competitions":Competitions (noun): A series of matches or events in which participants or
semeval2013.d010.s007.t000	Experience: 1. The sum of knowledge, skills, judgments, and attitudes gained through direct participation in events or activities.
semeval2013.d010.s008.t000	The word "players" in the given sentence refers to individuals who participate in a particular activity, in this case, soccer (
semeval2013.d010.s008.t001	Experience: 1. The act of doing something, especially a skill or a piece of knowledge that is acquired through doing or
semeval2013.d010.s008.t002	Area (noun): a part of a country, region, or a larger geographical area.
semeval2013.d010.s008.t003	According to the dictionary, "level" can be defined as:* A standard of quality, amount, or degree; a
semeval2013.d010.s009.t000	The word "peak" can be defined as:* The highest point or level of something; the most extreme or extreme point
semeval2013.d010.s009.t002	The dictionary definition of "goalkeeper" is:A person who plays in a football team, especially in the position at the
semeval2013.d010.s009.t005	A sports game is a competition between two or more teams, typically involving physical activity, such as a match of soccer (football
semeval2013.d010.s009.t006	The word "London" refers to the capital city of England.
semeval2013.d010.s009.t007	A record: a point of comparison or a benchmark, especially one that is recognized as the best or highest in a particular field
semeval2013.d010.s009.t008	The dictionary definition of "goalkeeper" is:A person, especially a player, who guards a goal in a game,
semeval2013.d010.s009.t009	A sports-related term, "matches" in this context refers to games or contests, particularly in sports such as football (soc
semeval2013.d010.s010.t000	"Today" is an adverb that refers to the current day, the first day of the current month.
semeval2013.d010.s010.t001	Record: (noun) a point or level that is the highest or lowest in a particular activity or competition; a notable or
semeval2013.d010.s010.t002	A match, in this context, refers to a soccer (football) game.
semeval2013.d010.s011.t000	A person who participates in a game or sport, especially a professional one.
semeval2013.d010.s011.t001	A football match.
semeval2013.d010.s012.t000	The dictionary definition of "week" in this context is: A period of seven consecutive days.
semeval2013.d010.s012.t001	Player: A person who plays a game or sport, especially one who is part of a team.
semeval2013.d010.s012.t002	A group of people, especially athletes, who work or play together as a unit.
semeval2013.d010.s012.t003	Match: 1. A contest between two or more teams in a particular sport, especially football (soccer).
semeval2013.d010.s012.t004	A striker is a position in the sport of football (soccer) where a player plays in front of the goalkeeper, scoring
semeval2013.d010.s013.t000	A number in this context refers to a quantity or amount of something, often used to describe a count or a measure.
semeval2013.d010.s013.t001	The word "games" in the sentence "Almost near the centennial number is Carles Puyol, with 97
semeval2013.d010.s015.t000	"Side" can be defined as:1. A surface of a three-dimensional object that is at a right angle to the
semeval2013.d010.s015.t001	Match (noun): A contest or competition, especially one with a winner and loser, often with a formal rules and a
semeval2013.d010.s015.t002	A striker is a term used in various contexts, but in the context of sports, particularly football (soccer), it refers
semeval2013.d010.s016.t000	The dictionary definition of "games" in this context is:Plural noun: contests or competitions, especially those involving physical skill
semeval2013.d010.s018.t000	In the context of sports, a match refers to a contest between two or more teams, typically in a competitive sport such as
semeval2013.d010.s019.t000	Side (noun): A surface or area of a two-dimensional object that is parallel to another surface or area.
semeval2013.d010.s019.t001	Presence: A person who is present in a place or situation.
semeval2013.d010.s020.t000	Rest: *   The act of giving someone or something time to relax, sleep, or take a break.
semeval2013.d010.s021.t000	Here's a dictionary definition for the word "games" in the given context:"Games (noun): a contest or competition
