senseval2.d000.s000.t000	1) A superior skill that you can learn by study and practice and observation
semeval2013.d009.s001.t007	The most suitable dictionary definition for "dinner" in the given sentence is:2) A light evening meal; served in
semeval2013.d009.s001.t009	The most suitable dictionary definition which identifies the meaning of "case" in the given sentence is:23) A comprehensive term
semeval2013.d009.s002.t002	3) A public official authorized to decide questions brought before a court of justice
semeval2013.d009.s002.t003	2) A discussion among participants who have an agreed (serious) topic
semeval2013.d009.s002.t004	2) A formal message requesting something that is submitted to an authority
semeval2013.d009.s002.t005	9) (law) a judicial reexamination of the proceedings of a court (especially by an appellate court)
semeval2013.d009.s003.t000	23) A comprehensive term for any proceeding in a court of law whereby an individual seeks a legal remedy
semeval2013.d009.s003.t002	3) A petition or appeal made to a person of superior status or rank
semeval2013.d009.s003.t003	2) One of the 50 states of the United States
semeval2013.d009.s003.t005	1) The act of improving by renewing and restoring
semeval2013.d009.s003.t006	4) The legislature of the United States government
semeval2013.d009.s003.t007	2) The period of time that it takes for a planet (as, e.g., Earth or Mars) to make a
semeval2013.d009.s003.t008	2) Law enacted by a legislative body
semeval2013.d009.s003.t009	2) A slogan used to rally support for a cause
semeval2013.d009.s004.t000	3) A public official authorized to decide questions brought before a court of justice
semeval2013.d009.s004.t001	3) A petition or appeal made to a person of superior status or rank
semeval2013.d009.s004.t002	3) A period of time equal to 1/24th of a day
semeval2013.d009.s004.t003	2) A discussion in which reasons are advanced for and against some proposition or proposal
semeval2013.d009.s004.t004	4) The month following February and preceding April
semeval2013.d009.s004.t006	The most suitable dictionary definition which identifies the meaning of "race" in the given sentence is:6) People who are believed
semeval2013.d009.s004.t007	The most suitable dictionary definition which identifies the meaning of "swing" in the given sentence is:2) A state of
semeval2013.d009.s004.t008	The most suitable dictionary definition which identifies the meaning of "time" in the given sentence is:8) The continuum of experience
semeval2013.d009.s004.t009	The most suitable dictionary definition which identifies the meaning of "court" in the given sentence is:12) An assembly (
semeval2013.d009.s004.t010	3) A position or opinion or judgment reached after consideration
semeval2013.d009.s005.t001	5) A tribunal that is presided over by a magistrate or by one or more judges who administer justice according to the
semeval2013.d009.s005.t002	2) Law enacted by a legislative body
semeval2013.d009.s006.t003	The most suitable dictionary definition for "dinner" in the given sentence is:2) A light evening meal; served in
semeval2013.d009.s007.t001	The most suitable dictionary definition for "dinner" in the given sentence is:2) A light evening meal; served in
semeval2013.d009.s007.t002	2) Law enacted by a legislative body
semeval2013.d009.s008.t000	2) Someone who supports or champions something
semeval2013.d009.s008.t001	4) An unusually large enterpriseIn the context of the sentence, "giant" is used to describe Pfizer Inc
semeval2013.d009.s008.t002	The most suitable dictionary definition which identifies the meaning of "stake" in the given sentence is:5) (law)
semeval2013.d009.s009.t000	The most suitable dictionary definition for "dinner" in the given sentence is:2) A light evening meal; served in
semeval2013.d009.s009.t001	4) The capital of the United States in the District of Columbia and a tourist mecca; George Washington commissioned Charles L'En
semeval2013.d009.s009.t003	3) A period of time equal to 1/24th of a day
semeval2013.d009.s009.t004	5) A tribunal that is presided over by a magistrate or by one or more judges who administer justice according to the
semeval2013.d009.s009.t005	2) A discussion among participants who have an agreed (serious) topic
semeval2013.d009.s009.t006	The most suitable dictionary definition for "case" in the given sentence is:23) A comprehensive term for any proceeding in
semeval2013.d009.s010.t000	1) The number of people that are present
semeval2013.d009.s010.t001	2) The upper house of the United States Congress
semeval2013.d009.s010.t002	1) Someone who offers opposition
semeval2013.d009.s011.t000	1) A visitor to whom hospitality is extended
semeval2013.d009.s011.t001	The most suitable dictionary definition for "dinner" in the given sentence is:2) A light evening meal; served in
semeval2013.d009.s012.t000	3) A public official authorized to decide questions brought before a court of justice
semeval2013.d009.s012.t001	1) Something that happens at a given place and time
semeval2013.d009.s012.t002	1) A prolonged period of time
semeval2013.d009.s013.t002	7) Prescribed guide for conduct or action
semeval2013.d009.s014.t001	3) A public official authorized to decide questions brought before a court of justice
semeval2013.d009.s014.t003	6) Something done (usually as opposed to something said)
semeval2013.d009.s014.t004	3) A public official authorized to decide questions brought before a court of justice
semeval2013.d009.s015.t000	4) A set of rules or principles or laws (especially written ones)
semeval2013.d009.s015.t002	2) A public official authorized to decide questions brought before a court of justice
semeval2013.d009.s015.t003	1) Something that happens at a given place and time
semeval2013.d009.s015.t004	5) The persons (or committees or departments etc.) who make up a body for the purpose of administering something
semeval2013.d009.s015.t005	2) A public official authorized to decide questions brought before a court of justice
semeval2013.d009.s015.t006	1) Someone who expresses in language; someone who talks (especially someone who delivers a public speech or someone especially garrulous)
semeval2013.d009.s015.t008	3) An announcement of the events that will occur as part of a theatrical or sporting event
semeval2013.d009.s015.t009	1) Something that happens at a given place and time
semeval2013.d009.s016.t000	1) The property of being close together
semeval2013.d009.s016.t002	23) A comprehensive term for any proceeding in a court of law whereby an individual seeks a legal remedy
semeval2013.d009.s016.t003	11) The members of a business organization that owns or operates one or more establishments.
semeval2013.d009.s016.t004	2) (law) a right or legal share of something; a financial involvement with something
semeval2013.d009.s017.t000	3) A failure to perform some promised act or obligation
semeval2013.d009.s017.t002	The most suitable dictionary definition for "indifference" in the given sentence is:2) An absence of emotion or enthusiasm
semeval2013.d009.s017.t003	4) A set of rules or principles or laws (especially written ones)
semeval2013.d009.s017.t004	7) An assertion of a right (as to money or property)
semeval2013.d009.s017.t005	3) A public official authorized to decide questions brought before a court of justice
semeval2013.d009.s017.t006	The most suitable dictionary definition which identifies the meaning of "court" in the given sentence is:5) A tribunal that is
semeval2013.d009.s017.t007	7) Prescribed guide for conduct or action
semeval2013.d009.s017.t008	The most suitable dictionary definition for "president" in the given sentence is:1) The presiding officer of a deliberative
semeval2013.d009.s018.t000	3) A public official authorized to decide questions brought before a court of justice
semeval2013.d009.s018.t001	The most suitable dictionary definition for "fundraiser" in the given sentence is:1) Someone who solicits financial contributions
semeval2013.d009.s018.t003	The most suitable dictionary definition which identifies the meaning of "cases" in the given sentence is:23) A comprehensive term
semeval2013.d009.s018.t004	The most suitable dictionary definition which identifies the meaning of "court" in the given sentence is:5) A tribunal that is
semeval2013.d009.s019.t000	2) Outward or visible aspect of a person or thing
semeval2013.d009.s019.t001	The most suitable dictionary definition for "assistance" in the given sentence is:2) Money to support a worthy person or
semeval2013.d009.s019.t002	1) Something that happens at a given place and time
semeval2013.d009.s019.t003	7) An assertion of a right (as to money or property)
semeval2013.d009.s020.t000	The most suitable dictionary definition which identifies the meaning of "regard" in the given sentence is:5) An attitude of
semeval2013.d009.s020.t002	3) The principal activity in your life that you do to earn money
semeval2013.d009.s020.t003	The most suitable dictionary definition which identifies the meaning of "court" in the given sentence is:5) A tribunal that is
semeval2013.d009.s020.t004	5) A group of people who work together
semeval2013.d009.s022.t000	2) A person who is reluctant to accept changes and new ideas
semeval2013.d009.s022.t001	3) A public official authorized to decide questions brought before a court of justice
semeval2013.d009.s022.t002	3) An important question that is in dispute and must be settled
semeval2013.d009.s023.t001	2) A method of tending to or managing the affairs of a some group of people (especially the group's business affairs
semeval2013.d009.s023.t003	2) Law enacted by a legislative body
semeval2013.d009.s023.t005	4) A specific identifiable position in a continuum or series or especially in a processIn the context of the sentence, "
semeval2013.d009.s024.t001	The most suitable dictionary definition which identifies the meaning of "case" in the given sentence is:23) A comprehensive term
semeval2013.d009.s024.t002	2) Law enacted by a legislative body
semeval2013.d009.s025.t000	5) Something that serves to indicate or suggest
semeval2013.d010.s000.t000	1) Usualness by virtue of being familiar or well known
semeval2013.d010.s001.t000	7) A person who participates in or is skilled at some game
semeval2013.d010.s001.t002	10) A contest with rules to determine a winner.
semeval2013.d010.s002.t000	2) One of two or more contesting groups
semeval2013.d010.s002.t002	7) A person who participates in or is skilled at some game
semeval2013.d010.s002.t003	10) A contest with rules to determine a winner.
semeval2013.d010.s003.t002	4) A person trained to compete in sports
semeval2013.d010.s003.t004	10) A contest with rules to determine a winner.
semeval2013.d010.s003.t005	1) The day that includes the present moment (as opposed to yesterday or tomorrow)
semeval2013.d010.s003.t006	2) The capital and largest city of Costa Rica
semeval2013.d010.s004.t001	4) The first or highest in an ordering or series
semeval2013.d010.s004.t003	3) The sum of recognized accomplishments
semeval2013.d010.s004.t005	13) A single play of a sport or other contest
semeval2013.d010.s005.t000	2) How much there is or how many there are of something that you can quantify
semeval2013.d010.s005.t002	10) A contest with rules to determine a winner.
semeval2013.d010.s006.t001	The most suitable dictionary definition for "League" in the given sentence is:3) An association of sports teams that organizes
semeval2013.d010.s006.t004	2) The period of time that it takes for a planet (as, e.g., Earth or Mars) to make a
semeval2013.d010.s006.t005	3) An association of sports teams that organizes matches for its members
semeval2013.d010.s006.t007	3) An occasion on which a winner is selected from among two or more contestants
semeval2013.d010.s007.t000	1) The content of direct observation or participation in an event
semeval2013.d010.s008.t000	4) A person trained to compete in sports
semeval2013.d010.s008.t001	1) The content of direct observation or participation in an event
semeval2013.d010.s008.t002	5) A particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography)
semeval2013.d010.s008.t003	1) A position on a scale of intensity or amount or qualityIn the context of the sentence, "level" is
semeval2013.d010.s009.t000	3) The highest level or degree attainable; the highest stage of development
semeval2013.d010.s009.t002	The most suitable dictionary definition for "goalkeeper" in the given sentence is:2) The defensive position on an ice hockey
semeval2013.d010.s009.t005	10) A contest with rules to determine a winner.
semeval2013.d010.s009.t006	3) The capital and largest city of England; located on the Thames in southeastern England; financial and industrial and cultural center.
semeval2013.d010.s009.t007	8) An extreme attainment; the best (or worst) performance ever attested (as in a sport).
semeval2013.d010.s009.t008	The most suitable dictionary definition for "goalkeeper" in the given sentence is:2) The defensive position on an ice hockey
semeval2013.d010.s009.t009	9) A formal contest in which two or more persons or teams compete
semeval2013.d010.s010.t000	1) The day that includes the present moment (as opposed to yesterday or tomorrow)
semeval2013.d010.s010.t001	8) An extreme attainment; the best (or worst) performance ever attested (as in a sport).
semeval2013.d010.s010.t002	9) A formal contest in which two or more persons or teams compete
semeval2013.d010.s011.t000	4) A person trained to compete in sports
semeval2013.d010.s011.t001	9) A formal contest in which two or more persons or teams compete
semeval2013.d010.s012.t000	1) Any period of seven consecutive days
semeval2013.d010.s012.t001	4) A person trained to compete in sports
semeval2013.d010.s012.t002	1) A cooperative unit (especially in sports)
semeval2013.d010.s012.t003	9) A formal contest in which two or more persons or teams compete
semeval2013.d010.s012.t004	1) A forward on a soccer team
semeval2013.d010.s013.t000	2) How much there is or how many there are of something that you can quantify
semeval2013.d010.s013.t001	10) A contest with rules to determine a winner.
semeval2013.d010.s015.t000	12) Either the left or right half of a body
semeval2013.d010.s015.t001	9) A formal contest in which two or more persons or teams compete
semeval2013.d010.s015.t002	1) A forward on a soccer team
semeval2013.d010.s016.t000	10) A contest with rules to determine a winner.
semeval2013.d010.s018.t000	9) A formal contest in which two or more persons or teams compete
semeval2013.d010.s019.t000	2) One of two or more contesting groups
semeval2013.d010.s019.t001	2) The act of being present
semeval2013.d010.s020.t000	The most suitable dictionary definition for "rest" in the given sentence is:1) A state of inaction
semeval2013.d010.s021.t000	10) A contest with rules to determine a winner.
semeval2013.d010.s022.t000	3) A player who makes a score in a game or contest
semeval2013.d010.s022.t001	2) A successful attempt at scoring
semeval2013.d010.s023.t000	The most suitable dictionary definition which identifies the meaning of "points" in the given sentence is:17) The unit of
semeval2013.d011.s000.t001	3) Weight to be borne or conveyed
semeval2013.d011.s000.t003	2) The system of production and distribution and consumption
semeval2013.d011.s001.t000	The most suitable dictionary definition for "Immigration" in the given sentence is:2) Migration into a place (especially migration
semeval2013.d011.s001.t001	1) A line of argument rationalizing the course of action of a government
semeval2013.d011.s001.t002	1) A distinct feature or element in a problem
semeval2013.d011.s001.t003	2) Excessive crowding
semeval2013.d011.s001.t006	1) A line of argument rationalizing the course of action of a government
semeval2013.d011.s001.t007	2) How much there is or how many there are of something that you can quantify
semeval2013.d011.s001.t008	1) Capability of existing or performing in harmonious or congenial combination
semeval2013.d011.s001.t009	1) A line of argument rationalizing the course of action of a government
semeval2013.d011.s001.t010	1) The relative position or standing of things or especially persons in a society
semeval2013.d011.s001.t011	2) A politically organized body of people under a single government
semeval2013.d011.s001.t012	2) A politically organized body of people under a single government
semeval2013.d011.s002.t000	2) The act of tormenting by continued persistent attacks and criticism
semeval2013.d011.s002.t001	1) A learner who is enrolled in an educational institution
semeval2013.d011.s002.t002	1) A republic in western Europe; the largest country wholly in Europe
semeval2013.d011.s002.t003	1) Inherent ability
semeval2013.d011.s002.t005	1) A person whose occupation is to serve at table (as in a restaurant)
semeval2013.d011.s003.t000	2) A mental position from which things are viewed
semeval2013.d011.s004.t000	3) Any collection in its entirety
semeval2013.d011.s004.t002	4) Those who support varying degrees of social or political or economic change designed to promote the public welfare
semeval2013.d011.s004.t003	4) Those who support political or social or economic conservatism; those who believe that things are better left unchanged
semeval2013.d011.s004.t004	1) The subject matter of a conversation or discussion
semeval2013.d011.s005.t000	4) Those who support political or social or economic conservatism; those who believe that things are better left unchanged
semeval2013.d011.s005.t001	7) The quality of something (an act or a piece of writing) that reveals the attitudes and presuppositions of the
semeval2013.d011.s005.t003	The most suitable dictionary definition for "problem" in the given sentence is:3) A state of difficulty that needs to be
semeval2013.d011.s005.t004	2) A politically organized body of people under a single government
semeval2013.d011.s005.t005	4) A person who works at a specific occupation
semeval2013.d011.s005.t006	4) Those who support varying degrees of social or political or economic change designed to promote the public welfare
semeval2013.d011.s005.t007	1) A republic in western Europe; the largest country wholly in Europe
semeval2013.d011.s005.t009	1) A state of ill-being due to affliction or misfortune
semeval2013.d011.s006.t000	1) A variation that deviates from the standard or norm
semeval2013.d011.s006.t001	3) A position on a scale of intensity or amount or quality
semeval2013.d011.s006.t002	The most suitable dictionary definition for "generosity" in the given sentence is:1) Acting generouslyThis definition captures
semeval2013.d011.s007.t000	1) An emotion experienced in anticipation of some specific pain or danger (usually accompanied by a desire to flee or fight)
semeval2013.d011.s007.t001	1) The act of invading; the act of an army that invades for conquest or plunder
semeval2013.d011.s007.t002	1) The geographical area under the jurisdiction of a sovereign state
semeval2013.d011.s007.t003	2) A vast multitude
semeval2013.d011.s007.t005	4) Those who support varying degrees of social or political or economic change designed to promote the public welfare
semeval2013.d011.s007.t006	4) Those who support political or social or economic conservatism; those who believe that things are better left unchanged
semeval2013.d011.s008.t000	2) One of two or more contesting groups
semeval2013.d011.s008.t002	3) Weight to be borne or conveyed
semeval2013.d011.s008.t003	2) The system of production and distribution and consumption
semeval2013.d011.s008.t004	1) An extended social group having a distinctive cultural and economic organization
semeval2013.d011.s009.t000	1) A variation that deviates from the standard or norm
semeval2013.d011.s009.t001	3) A position on a scale of intensity or amount or qualityIn the given sentence, "degree" is used to
semeval2013.d011.s009.t002	The most suitable dictionary definition for "generosity" in the given sentence is:1) Acting generouslyThis definition captures
semeval2013.d011.s010.t000	The most suitable dictionary definition for "program" in the given sentence is:6) A system of projects or services intended to
semeval2013.d011.s010.t003	The most suitable dictionary definition for "problem" in the given sentence is:3) A state of difficulty that needs to be
semeval2013.d011.s011.t000	1) An abstract or general idea inferred or derived from specific instances
semeval2013.d011.s011.t002	3) Weight to be borne or conveyed
semeval2013.d011.s011.t003	The most suitable dictionary definition for "problem" in the given sentence is:2) A source of difficultyThis definition best
semeval2013.d011.s012.t001	7) A written work or composition that has been published (printed on pages bound together)
semeval2013.d011.s012.t003	The most suitable dictionary definition which identifies the meaning of "immigration" is:2) Migration into a place (especially migration
semeval2013.d011.s012.t004	3) (plural) any group of human beings (men or women or children) collectively
semeval2013.d011.s012.t005	2) The movement of persons from one country or locality to another
semeval2013.d011.s012.t007	2) The time yet to come
semeval2013.d011.s012.t009	2) An expert who is devoted to one occupation or branch of learning
semeval2013.d011.s012.t010	1) A forceful consequence; a strong effect
semeval2013.d011.s012.t011	2) The movement of persons from one country or locality to another
semeval2013.d011.s012.t012	4) The motion characteristic of fluids (liquids or gases)
semeval2013.d011.s012.t015	2) The state of being employed or having a job
semeval2013.d011.s012.t016	2) A politically organized body of people under a single government
semeval2013.d011.s013.t000	The most suitable dictionary definition for "immigration" in the given sentence is:2) Migration into a place (especially migration
semeval2013.d011.s013.t001	2) (biology) the process of an individual organism growing organically; a purely biological unfolding of events involved in an
semeval2013.d011.s013.t002	1) The occupation for which you are paid
semeval2013.d011.s014.t000	1) An emotion experienced in anticipation of some specific pain or danger (usually accompanied by a desire to flee or fight)
semeval2013.d011.s014.t001	1) A forceful consequence; a strong effect
semeval2013.d011.s014.t003	1) An abstract or general idea inferred or derived from specific instances
semeval2013.d011.s014.t004	4) A person who works at a specific occupation
semeval2013.d011.s014.t005	1) A single person or thing
semeval2013.d011.s014.t006	The most suitable dictionary definition which identifies the meaning of "pressure" in the given sentence is:2) The act of pressing
semeval2013.d011.s015.t000	1) The content of direct observation or participation in an event
semeval2013.d011.s015.t003	The most suitable dictionary definition for "replacements" in the given sentence is:1) A person or thing that takes
semeval2013.d011.s015.t004	3) Productive work (especially physical work done for wages)
semeval2013.d011.s015.t005	3) People who perform a particular kind of skilled work
semeval2013.d011.s015.t006	The most suitable dictionary definition for "shortage" in the given sentence is:2) The property of being an amount by
semeval2013.d011.s015.t007	3) Productive work (especially physical work done for wages)
semeval2013.d011.s016.t001	2) A particular aspect of life or activity
semeval2013.d011.s016.t002	3) Productive work (especially physical work done for wages)
semeval2013.d011.s016.t003	1) A single person or thing
semeval2013.d011.s016.t004	2) A particular aspect of life or activity
semeval2013.d011.s016.t005	2) The activities of educating or instructing; activities that impart knowledge or skill
semeval2013.d011.s016.t006	3) Something offered (as a proposal or bid)
semeval2013.d011.s016.t007	1) The occupation for which you are paid
semeval2013.d011.s017.t000	The most suitable dictionary definition for "effect" in the sentence "A positive effect on wages" is:6) A phenomenon
semeval2013.d011.s018.t000	3) How something is done or how it happens
semeval2013.d011.s018.t002	2) A politically organized body of people under a single government
semeval2013.d011.s018.t003	The most suitable dictionary definition which identifies the meaning of "shortage" in the given sentence is:2) The property of
semeval2013.d011.s018.t005	1) The interrelation of reciprocity whereby one thing supplements or depends on the otherThis definition best captures the meaning of
semeval2013.d011.s018.t007	1) Someone who arrives (or has arrived)
semeval2013.d011.s018.t009	6) A phenomenon that follows and is caused by some previous phenomenon
semeval2013.d011.s019.t000	The most suitable dictionary definition which identifies the meaning of "rise" in the given sentence is:5) A growth in strength
semeval2013.d011.s019.t001	4) The motion characteristic of fluids (liquids or gases)
semeval2013.d011.s019.t002	The most suitable dictionary definition for "increase" in the given sentence is:3) The amount by which something increases
semeval2013.d011.s020.t000	2) A piece of information about circumstances that exist or events that have occurred
semeval2013.d011.s020.t001	3) Noticeable heterogeneityThe sentence discusses the diversity contributed by immigrants, which refers to the noticeable differences or variety in the
semeval2013.d011.s020.t003	3) The act of starting something for the first time; introducing something new
semeval2013.d011.s020.t004	The most suitable dictionary definition for "ideas" in the given sentence is:3) The content of cognition; the main
semeval2013.d011.s020.t006	3) The quotient obtained when the magnitude of a part is divided by the magnitude of the wholeIn the given sentence,
semeval2013.d011.s020.t008	1) Of or relating to or characteristic of the continents and islands of the Americas
semeval2013.d011.s020.t010	1) The contestant who wins the contest
semeval2013.d011.s020.t012	1) A widely used search engine for the web that finds information, news, images, products, finance
semeval2013.d011.s021.t001	2) Someone who contributes (or promises to contribute) a sum of money
semeval2013.d011.s021.t003	1) A sum of money allocated for a particular purpose
semeval2013.d011.s022.t001	3) Productive work (especially physical work done for wages)
semeval2013.d011.s022.t002	4) The persons (or committees or departments etc.) who make up a body for the purpose of administering something
semeval2013.d011.s022.t006	1) How long something has existed
semeval2013.d011.s022.t007	The most suitable dictionary definition for "contribution" in the given sentence is:1) The part played by a person in
semeval2013.d011.s022.t008	3) An acknowledgment (usually tangible) that payment has been made
semeval2013.d011.s022.t009	The most suitable dictionary definition for "expenditure" in the given sentence is:2) The act of spending money for
semeval2013.d011.s022.t010	The most suitable dictionary definition which identifies the meaning of "average" in the given sentence is:3) A statistic describing the
semeval2013.d011.s022.t012	1) A sum of money allocated for a particular purpose
semeval2013.d011.s023.t001	2) The commission that is given to a government and its policies through an electoral victory
semeval2013.d011.s023.t002	The most suitable dictionary definition which identifies the meaning of "points" in the sentence "Nicolas Sarkozy wished at the start of
semeval2013.d011.s023.t003	2) (biology) the process of an individual organism growing organically; a purely biological unfolding of events involved in an
semeval2013.d011.s024.t000	5) The subject matter at issue
semeval2013.d011.s024.t002	5) An impression (especially one that is artificial or contrived)In the given sentence, "effect" is used to
semeval2013.d012.s000.t000	7) A symbol for a unit of currency (especially for the pound sterling in Great Britain)
semeval2013.d012.s000.t002	2) North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest
semeval2013.d012.s001.t000	1) A source of difficulty
semeval2013.d012.s001.t001	1) A state of commotion and noise and confusion
semeval2013.d012.s001.t003	8) The basic unit of money in Great Britain and Northern Ireland; equal to 100 pence
semeval2013.d012.s001.t005	2) North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest
semeval2013.d012.s002.t000	The most suitable dictionary definition for "problems" in the given sentence is:3) A state of difficulty that needs to
semeval2013.d012.s002.t001	The most suitable dictionary definition for "home" in the given sentence is:1) A dwelling that serves as living quarters for
semeval2013.d012.s002.t002	1) The people or companies engaged in a particular kind of commercial enterprise
semeval2013.d012.s002.t003	4) An unusually large enterprise
semeval2013.d012.s002.t005	2) North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest
semeval2013.d012.s002.t006	2) The basic monetary unit in many countries; equal to 100 cents
semeval2013.d012.s002.t008	2) A disagreement or argument about something important
semeval2013.d012.s002.t009	1) Inability to discharge all your debts as they come due
semeval2013.d012.s003.t000	3) An important question that is in dispute and must be settled
semeval2013.d012.s003.t001	1) A particular instance of selling
semeval2013.d012.s004.t000	The most suitable dictionary definition for "regulator" in the given sentence is:5) An official responsible for control and supervision
semeval2013.d012.s004.t001	The most suitable dictionary definition for "string" in the given sentence is:4) A sequentially ordered set of things or events
semeval2013.d012.s004.t002	11) A building in which the business of banking transacted
semeval2013.d012.s004.t003	1) A verbal commitment by one person to another agreeing to do (or not to do) something in the future
semeval2013.d012.s005.t000	7) The amount (of money or goods or services) that is considered to be a fair equivalent for something else
semeval2013.d012.s005.t001	6) A formal declaration that documents a fact of relevance to finance and investment; the holder has a right to receive interest or
semeval2013.d012.s005.t002	1) A crucial stage or turning point in the course of something
semeval2013.d012.s006.t000	3) An important question that is in dispute and must be settled
semeval2013.d012.s006.t004	3) One of the five boroughs of New York City
semeval2013.d012.s007.t000	1) A financial institution that accepts deposits and channels the money into lending activities
semeval2013.d012.s007.t002	7) A conclusive resolution of a matter and disposition of it
semeval2013.d012.s008.t000	2) The basic monetary unit in many countries; equal to 100 cents
semeval2013.d012.s009.t001	1) The quality of being responsive; reacting quickly; as a quality of people, it involves responding with emotion to people and
semeval2013.d012.s009.t002	1) A financial institution that accepts deposits and channels the money into lending activities
semeval2013.d012.s010.t002	1) Inability to discharge all your debts as they come due
semeval2013.d012.s010.t004	The most suitable dictionary definition for "deposits" in the given sentence is:11) Money deposited in a bank
semeval2013.d012.s011.t000	The most suitable dictionary definition for "compensation" in the given sentence is:4) Something (such as money) given
semeval2013.d012.s011.t002	1) A very large indefinite number (usually hyperbole)
semeval2013.d012.s012.t000	2) A body of people who settle far from home but maintain ties with their homeland; inhabitants remain nationals of their home state
semeval2013.d012.s013.t000	1) A governmental agency that regulates businesses in the public interest
semeval2013.d012.s013.t001	1) A financial institution that accepts deposits and channels the money into lending activities
semeval2013.d012.s013.t002	1) The warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumn
semeval2013.d012.s016.t000	1) Your overall circumstances or condition in life (including everything that happens to you)
semeval2013.d012.s016.t001	2) How much there is or how many there are of something that you can quantify
semeval2013.d012.s016.t002	11) The members of a business organization that owns or operates one or more establishments.
semeval2013.d012.s017.t002	3) Elevation especially above sea level or above the earth's surface
semeval2013.d012.s017.t003	1) A crucial stage or turning point in the course of something
semeval2013.d012.s018.t000	7) The land along the edge of a body of water.
semeval2013.d012.s018.t001	4) Air moving (sometimes with considerable force) from an area of high pressure to an area of low pressure
semeval2013.d012.s018.t002	2) North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest
semeval2013.d012.s018.t003	2) The period of time that it takes for a planet (as, e.g., Earth or Mars) to make a
semeval2013.d012.s019.t001	The most suitable dictionary definition for "regulators" in the given sentence is:5) An official responsible for control and supervision
semeval2013.d012.s019.t002	2) How much there is or how many there are of something that you can quantify
semeval2013.d012.s019.t003	The most suitable dictionary definition for "claims" in the given sentence is:7) An assertion of a right (as
semeval2013.d012.s019.t004	The most suitable dictionary definition for "compensation" in the given sentence is:4) Something (such as money) given
semeval2013.d012.s019.t005	1) Activity that transgresses moral or civil law
semeval2013.d012.s020.t000	6) A movement like that of a sudden occurrence or increase in a specified phenomenon.
semeval2013.d012.s020.t001	7) An assertion of a right (as to money or property).
semeval2013.d012.s021.t000	1) A financial institution that accepts deposits and channels the money into lending activities
semeval2013.d012.s021.t007	2) The basic monetary unit in many countries; equal to 100 cents
semeval2013.d012.s022.t002	7) The amount (of money or goods or services) that is considered to be a fair equivalent for something else.
semeval2013.d012.s022.t003	2) The basic monetary unit in many countries; equal to 100 cents
semeval2013.d012.s023.t000	The most suitable dictionary definition for "regulator" in the given sentence is:5) An official responsible for control and supervision
semeval2013.d012.s023.t001	1) A financial institution that accepts deposits and channels the money into lending activities
semeval2013.d012.s023.t002	2) A form of trustworthiness; the trait of being answerable to someone for something or being responsible for one's
semeval2013.d012.s023.t004	4) The whole amount
semeval2013.d012.s024.t000	The most suitable dictionary definition for "claims" in the given sentence is:7) An assertion of a right (as
semeval2013.d012.s024.t001	1) An anticipated outcome that is intended or that guides your planned actions
semeval2013.d012.s024.t002	The most suitable dictionary definition for "claims" in the given sentence is:7) An assertion of a right (as
semeval2015.d000.s000.t000	3) Writing that provides information (especially information of an official nature)
semeval2015.d000.s000.t003	1) Not private; open to or concerning the people as a whole
semeval2015.d000.s000.t004	1) The act of judging or assessing a person or situation or event
semeval2015.d000.s000.t005	3) A written document describing the findings of some individual or group
semeval2015.d000.s001.t000	2) Serve as a reason or cause or justification of
semeval2015.d000.s001.t001	2) A special group delegated to consider some matter.
semeval2015.d000.s001.t003	1) An artifact that has been created by someone or some process
semeval2015.d000.s001.t004	1) Having human form or attributes as opposed to those of animals or divine beings
semeval2015.d000.s001.t005	4) What something is used for
semeval2015.d000.s001.t006	3) Evaluate or estimate the nature, quality, ability, extent, or significance of
semeval2015.d000.s001.t007	The most suitable dictionary definition for "studies" in the given sentence is:9) Applying the mind to learning and understanding
semeval2015.d000.s001.t008	1) Carry out or perform an action
semeval2015.d000.s001.t009	3) Reach a point in time, or a certain state or levelIn the context of the sentence, "re
semeval2015.d000.s001.t010	1) Something (as a course of action) that is recommended as advisable
semeval2015.d000.s001.t011	5) Seek or achieve an end by using to one's advantage
semeval2015.d000.s001.t012	1) The learned profession that is mastered by graduate training in a medical school and that is devoted to preventing or alleviating
semeval2015.d000.s002.t000	The most suitable dictionary definition for "need" in the given sentence is:2) Have or feel a need forThis
semeval2015.d000.s002.t001	1) (comparative of `many' used with count nouns) quantifier meaning greater in number
semeval2015.d000.s002.t002	2) Knowledge acquired through study or experience or instruction
semeval2015.d000.s002.t003	1) Relating to the study or practice of medicine
semeval2015.d000.s002.t004	The most suitable dictionary definition which identifies the meaning of "condition" in the given sentence is:4) An illness, disease
semeval2015.d000.s002.t005	1) Care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury)
semeval2015.d000.s002.t006	3) Interpret something that is written or printed
semeval2015.d000.s002.t008	2) An advertisement (usually printed on a page or in a leaflet) intended for wide distribution
semeval2015.d000.s002.t010	2) One of the portions into which something is regarded as divided and which together constitute a whole.
semeval2015.d000.s002.t011	1) Be in direct physical contact with; make contact
