senseval2.d000.s000.t000	2) The products of human creativity; works of art collectively
semeval2015.d000.s015.t005	3) (medicine) the passive introduction of a substance (a fluid or drug or electrolyte) into a vein or between
semeval2015.d000.s015.t006	1) Persist for a specified period of time.
semeval2015.d000.s015.t007	1) A unit of time equal to 60 seconds or 1/60th of an hour
semeval2015.d000.s016.t000	11) Cut down on; make a reduction inThis definition best matches the meaning of "reduce" in the given sentence
semeval2015.d000.s016.t001	1) A secondary and usually adverse effect of a drug or therapy
semeval2015.d000.s016.t002	1) A person who requires medical care.
semeval2015.d000.s016.t006	2) A subdivision of a particular kind of thing.In this sentence, "folic acid" and "vitamin B
semeval2015.d000.s016.t008	1) The act of putting a liquid into the body by means of a syringe.This definition is the most suitable to
semeval2015.d000.s016.t010	1) Care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury)
semeval2015.d000.s017.t000	16) Give (as medicine)
semeval2015.d000.s017.t001	6) (medicine) something that treats or prevents or alleviates the symptoms of disease.This definition most accurately describes the meaning
semeval2015.d000.s017.t002	2) Stop (someone or something) from doing something or being in a certain state.This definition best fits the context of
semeval2015.d000.s017.t004	2) Continuous amorphous matter that tends to flow and to conform to the outline of its container: a liquid or a
semeval2015.d000.s017.t005	2) Stop (someone or something) from doing something or being in a certain state.In this context, "prevent"
semeval2015.d000.s017.t006	2) Depletion of bodily fluids.
semeval2015.d000.s017.t008	16) Give (as medicine)
semeval2015.d000.s017.t009	3) Earlier in time; previously
semeval2015.d000.s017.t010	1) Happening at a time subsequent to a reference time
semeval2015.d000.s017.t011	5) The quantity of an active agent (substance or radiation) taken in or absorbed at any one time
semeval2015.d000.s018.t000	1) Care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury)
semeval2015.d000.s018.t001	2) Hold back to a later time
semeval2015.d000.s018.t002	2) Put an end to a state or an activity.The sentence is indicating that treatment should stop being given to patients due
semeval2015.d000.s018.t003	5) The quantity of an active agent (substance or radiation) taken in or absorbed at any one time
semeval2015.d000.s018.t004	11) Cut down on; make a reduction inThis definition best matches the meaning of "reduced" in the given
semeval2015.d000.s018.t005	1) A person who requires medical care
semeval2015.d000.s018.t006	2) The number of red and white corpuscles in a blood sample
semeval2015.d000.s018.t007	2) Not normal; not typical or usual or regular or conforming to a normThis definition best fits the context of
semeval2015.d000.s018.t008	7) Have or possess, either in a concrete or an abstract sense.This definition captures the meaning of "have" in
semeval2015.d000.s018.t009	1) Definite but not specified or identified.
semeval2015.d000.s018.t010	3) Very unusual; different in character or quality from the normal or expected.In the given sentence, "other" refers
semeval2015.d000.s018.t011	Both definitions 1 and 2 are suitable, but I would say that definition 1 is more concise and clear in its
semeval2015.d000.s019.t002	7) The act of using.
semeval2015.d000.s019.t003	1) A person who requires medical care.The sentence is describing a group of individuals who are receiving medical treatment, which is
semeval2015.d000.s019.t004	3) Being within reasonable or average limits; not excessive or extreme.This definition best describes the meaning of "moderate"
semeval2015.d000.s019.t005	5) Intensely or extremely bad or unpleasant in degree or quality.This definition captures the meaning of "severe" in
semeval2015.d000.s019.t007	3) A state of difficulty that needs to be resolved.The sentence implies that kidney problems are a condition or issue that needs
semeval2015.d000.s020.t000	1) (comparative of `many' used with count nouns) quantifier meaning greater in numberIn the given
semeval2015.d000.s020.t001	3) A collection of facts from which conclusions may be drawn.This definition captures the meaning of "information" as a collection
semeval2015.d000.s020.t002	8) Observe, check out, and look over carefully or inspect.This definition of "see" fits the context of
semeval2015.d000.s020.t004	7) Commodities offered for sale.The sentence is referring to a product that is being sold, so the most suitable definition
semeval2015.d000.s020.t006	2) One of the portions into which something is regarded as divided and which together constitute a whole.
semeval2015.d000.s022.t000	12) Exerting influence or producing a change or effect.This definition best captures the meaning of "active" in the
semeval2015.d000.s022.t001	2) Material produced by or used in a reaction involving changes in atoms or molecules.This definition best describes the meaning of "
semeval2015.d000.s022.t003	6) (medicine) something that treats or prevents or alleviates the symptoms of disease
semeval2015.d000.s022.t004	6) (medicine) something that treats or prevents or alleviates the symptoms of diseaseThis definition most accurately describes the meaning
semeval2015.d000.s022.t005	1) Cause to die; put to death, usually intentionally or knowingly
semeval2015.d000.s022.t006	5) (biology) the basic structural and functional unit of all organisms; they may exist as independent units of life (as
semeval2015.d000.s022.t007	5) Separate into parts or portionsThe sentence implies that the medicine (pemetrexed) affects cells that are dividing
semeval2015.d000.s023.t000	16) The entire structure of an organism (an animal, plant, or human being).This definition best fits the context of
semeval2015.d000.s023.t001	9) Change in nature, purpose, or function; undergo a chemical change.This definition best describes the process of pemet
semeval2015.d000.s023.t002	3) (used of verbs (e.g. `to run') and participial adjectives (e.g. `running
semeval2015.d000.s023.t003	4) An arrangement of the elements in a composition or discourseIn this context, "form" refers to the structure or
semeval2015.d000.s023.t004	7) Hinder or prevent the progress or accomplishment of
semeval2015.d000.s023.t007	1) Connected by participation or association or use
semeval2015.d000.s023.t008	6) Give rise to; cause to happen or occur, not always intentionally.This definition best fits the meaning of "produ
semeval2015.d000.s023.t010	1) A single undivided natural thing occurring in the composition of something else.This definition best fits the meaning of "
semeval2015.d000.s023.t013	4) Of or relating to or produced by or being a geneThis definition directly relates to the concept of genetic material and
semeval2015.d000.s023.t014	3) The tangible substance that goes into the makeup of a physical object.In the given sentence, "material" refers to
semeval2015.d000.s023.t015	5) (biology) the basic structural and functional unit of all organisms; they may exist as independent units of life (as
semeval2015.d000.s024.t000	The most suitable dictionary definition for the word "studied" in the sentence is:2) Be a student; follow a
semeval2015.d000.s025.t000	1) Care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury)
semeval2015.d000.s025.t004	3) Consider in detail and subject to an analysis in order to discover essential features or meaning.
semeval2015.d000.s025.t005	3) Most important element.The sentence is indicating that Alimta was studied in one main study, which refers to the
semeval2015.d000.s025.t006	9) Applying the mind to learning and understanding a subject (especially by reading)This definition most accurately describes the meaning of "
semeval2015.d000.s025.t007	1) A person who requires medical care.This definition best fits the context of the sentence, as it describes individuals who are
semeval2015.d000.s025.t012	3) Earlier in time; previously
semeval2015.d000.s026.t000	6) A phenomenon that follows and is caused by some previous phenomenon.In this context, "effects" refers to the consequences
semeval2015.d000.s026.t002	3) Examine and note the similarities or differences of
semeval2015.d000.s027.t000	1) Care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury)
semeval2015.d000.s027.t001	5) (biology) the basic structural and functional unit of all organisms; they may exist as independent units of life (as
semeval2015.d000.s027.t003	3) A symptom caused by an illness or a drug.
semeval2015.d000.s027.t004	2) Be comparable."Compared" means to be in a position of being similar or equivalent to something else, often
semeval2015.d000.s027.t006	6) (medicine) something that treats or prevents or alleviates the symptoms of disease
semeval2015.d000.s027.t007	9) Applying the mind to learning and understanding a subject (especially by reading).This definition best captures the meaning of "study
semeval2015.d000.s027.t008	3) Engage as a participant.The word "involving" means to be a part of or to participate in
semeval2015.d000.s027.t009	1) A person who requires medical care
semeval2015.d000.s027.t010	2) To a restricted area of the body.In this context, "locally" refers to the specific area of the
semeval2015.d000.s027.t011	6) Comparatively late in a course of development.This definition best describes the meaning of "advanced" in the context of
semeval2015.d000.s027.t016	1) The time that has elapsed
semeval2015.d000.s028.t001	1) Consider or describe as similar, equal, or analogousThe sentence states that Alimta was "also compared"
semeval2015.d000.s028.t003	6) (medicine) something that treats or prevents or alleviates the symptoms of disease
semeval2015.d000.s028.t005	9) Applying the mind to learning and understanding a subject (especially by reading)This definition most accurately captures the meaning of "
semeval2015.d000.s028.t006	3) Engage as a participant.The sentence is describing a study where patients are participating, which means they are involved as
semeval2015.d000.s028.t007	1) A person who requires medical care
semeval2015.d000.s028.t012	1) The time that has elapsedThis definition is the most suitable because it directly refers to the concept of time that has
semeval2015.d000.s029.t000	11) A room used for reading and writing and studying.This definition is the most suitable for the sentence, as it clearly
semeval2015.d000.s029.t001	3) Most important elementIn the given sentence, "main" refers to the most significant or primary aspect of the effectiveness
semeval2015.d000.s029.t002	3) A basis for comparison; a reference point against which other things can be evaluatedThis definition best captures the meaning of
semeval2015.d000.s029.t004	1) For an extended time
semeval2015.d000.s029.t005	1) A person who requires medical care.
semeval2015.d000.s029.t006	2) Continue in existence after (an adversity, etc.)This definition accurately captures the meaning of "survived" in
semeval2015.d000.s030.t000	3) Something that aids or promotes well-beingThis definition best fits the context of the sentence, as it implies a positive
semeval2015.d000.s030.t001	10) Give evidence of, as of recordsThe sentence is asking about the benefit that Alimta has "shown"
semeval2015.d000.s030.t002	9) Applying the mind to learning and understanding a subject (especially by reading).
semeval2015.d000.s031.t000	Both definitions 1 and 2 are suitable for the context, but definition 2 is more suitable in this case.The
semeval2015.d000.s031.t001	1) A state of surviving; remaining alive.
semeval2015.d000.s031.t002	7) A period of time considered as a resource under your control and sufficient to accomplish something.This definition best fits the context
semeval2015.d000.s031.t003	1) A person who requires medical care.This definition best fits the context of the sentence, as patients are individuals who receive
semeval2015.d000.s032.t000	1) A person who requires medical care.
semeval2015.d000.s032.t002	2) Continue in existence after (an adversity, etc.)This definition most accurately describes the meaning of "survived"
semeval2015.d000.s032.t003	6) An intermediate scale value regarded as normal or usual.In this context, "average" refers to an average length of
semeval2015.d000.s032.t004	1) A time unit of approximately 30 days
semeval2015.d000.s032.t005	1) Consider or describe as similar, equal, or analogous
semeval2015.d000.s032.t006	1) A time unit of approximately 30 days
semeval2015.d000.s033.t000	1) Care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury)
semeval2015.d000.s033.t001	1) A person who requires medical care.
semeval2015.d000.s033.t002	5) (biology) the basic structural and functional unit of all organisms; they may exist as independent units of life (as
semeval2015.d000.s033.t005	4) Able to accomplish a purpose; functioning effectively.This definition best captures the meaning of "effective" in the context of
semeval2015.d000.s034.t000	1) A person who requires medical care
semeval2015.d000.s034.t003	1) The time that has elapsed.This definition best describes the meaning of "past" in the context of the sentence,
semeval2015.d000.s034.t004	2) Relating to or constituting the most frequent value in a distribution.This definition is the most suitable for the word
semeval2015.d000.s034.t005	1) A state of surviving; remaining alive
semeval2015.d000.s034.t006	3) The fourth coordinate that is required (along with three spatial dimensions) to specify a physical event.In this context,
semeval2015.d000.s034.t007	1) A time unit of approximately 30 days.This definition is more suitable for "months" as it provides a more
semeval2015.d000.s034.t008	3) Examine and note the similarities or differences of.
semeval2015.d000.s034.t009	1) A time unit of approximately 30 days
semeval2015.d000.s035.t000	1) A person who requires medical care.This definition directly relates to the context of the sentence, where "patients" refers
semeval2015.d000.s035.t004	2) A verb tense that expresses actions or states in the past.In this sentence, "past" is used to describe
semeval2015.d000.s035.t005	2) Relating to or constituting the most frequent value in a distributionIn this context, "average" refers to
semeval2015.d000.s035.t006	1) A state of surviving; remaining alive
semeval2015.d000.s035.t007	8) The continuum of experience in which events pass from the past through the present to the future.This definition of "time
semeval2015.d000.s035.t008	1) A time unit of approximately 30 days
semeval2015.d000.s035.t009	5) A group of people who work together.This definition is the most suitable for the context of the sentence, as it
semeval2015.d000.s036.t000	2) Despite anything to the contrary (usually following a concession)However is used to contrast or introduce a contrasting idea, often
semeval2015.d000.s036.t001	11) A room used for reading and writing and studying.
semeval2015.d000.s036.t002	1) A person who requires medical care.
semeval2015.d000.s036.t003	4) Any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body
semeval2015.d000.s036.t005	1) Have an effect upon
semeval2015.d000.s036.t008	6) Primarily temporal sense; being or indicating a relatively great or greater than average duration or passage of time or a duration
semeval2015.d000.s036.t009	1) A state of surviving; remaining alive
semeval2015.d000.s036.t010	6) A musical notation indicating the number of beats to a measure and kind of note that takes a beat
semeval2015.d000.s037.t000	2) A conceptual separation or distinctionIn this sentence, "contrast" refers to the idea of a comparison or distinction between
semeval2015.d000.s037.t001	1) A person who requires medical care
semeval2015.d000.s037.t002	4) Any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body
semeval2015.d000.s037.t003	1) Have an effect upon
semeval2015.d000.s037.t006	1) Primarily temporal sense; indicating or being or seeming to be limited in durationThis definition best matches the meaning of
semeval2015.d000.s037.t007	1) A state of surviving; remaining alive
semeval2015.d000.s037.t008	4) Rhythm as given by division into parts of equal duration.In this context, "times" refers to periods of
semeval2015.d001.s000.t000	1) Of or pertaining to or of the nature of mathematics
semeval2015.d001.s000.t001	1) Use as a basis for; found onIn the context of the sentence, "based on" means to use
semeval2015.d001.s001.t001	4) (usually followed by `of') having capacity or ability
semeval2015.d001.s001.t002	The most suitable definition of "make" among the options is:6) Make by shaping or bringing together constituentsThis definition
semeval2015.d001.s001.t003	6) Having few parts; not complex or complicated or involved.The sentence implies that the subject (MathML operations) is
semeval2015.d001.s001.t004	4) (mathematics) calculation by mathematical methods.This definition best fits the context of the sentence, as it refers to
semeval2015.d001.s001.t006	2) Having a three-dimensional form or appearance
semeval2015.d001.s002.t000	6) In fact (used as intensifiers or sentence modifiers)The sentence "It is actually not necessary to know MathML
semeval2015.d001.s002.t002	4) Absolutely essentialThis definition captures the meaning of "necessary" in the given sentence, as it implies that knowing Math
semeval2015.d001.s002.t003	The most suitable dictionary definition for "know" in the sentence is:3) Be aware of the truth of something; have
semeval2015.d001.s002.t004	4) Use up, consume fullyThis definition best fits the context of the sentence, as it implies that knowing MathML
semeval2015.d001.s004.t002	2) At the present moment
semeval2015.d001.s004.t003	3) Take or consume (regularly or habitually)This definition best fits the context of the sentence, as the subject
semeval2015.d001.s004.t004	2) (informal) small and of little importanceThis definition best fits the context of the sentence, as "little
semeval2015.d001.s004.t005	1) Of or pertaining to or of the nature of mathematics.
semeval2015.d001.s005.t000	1) In or at this place; where the speaker or writer is
semeval2015.d001.s005.t001	3) Most important element.In this context, "main" refers to the primary or central part of something, which is
semeval2015.d001.s005.t002	2) (computer science) a rectangular part of a computer screen that contains a display different from the rest of the screen.
semeval2015.d001.s006.t000	3) Most important elementIn the given sentence, "kalgebra" is likely a misspelling of "calculation
semeval2015.d001.s006.t001	The most suitable dictionary definition for the word "window" in the sentence "kalgebra main window" is:1) A
semeval2015.d001.s007.t000	3) Most important element.In the given sentence, "main" is used to describe the primary or most significant component of
semeval2015.d001.s007.t001	2) (computer science) a rectangular part of a computer screen that contains a display different from the rest of the screen.
semeval2015.d001.s007.t002	2) Be composed ofThis definition best fits the sentence "kalgebra main window consists in a Console tab, a
semeval2015.d001.s007.t003	7) A scientific instrument consisting of displays and an input device that an operator can use to monitor and control a system (especially
semeval2015.d001.s007.t005	2) Having a three-dimensional form or appearance.This definition is more general and applies to objects or concepts that have three dimensions
semeval2015.d001.s008.t000	4) In or to a place that is lower
semeval2015.d001.s008.t001	6) Discover or determine the existence, presence, or fact of.This definition best captures the meaning of "find" in
semeval2015.d001.s008.t002	3) Signal going into an electronic system.In the given sentence, "input" refers to the data or information that is
semeval2015.d001.s008.t004	1) Identify as belonging to a certain type
semeval2015.d001.s008.t005	5) The actions and activities assigned to or required or expected of a person or group.This definition best fits the context of
semeval2015.d001.s008.t006	The most suitable dictionary definition which identifies the meaning of "do" in the given sentence is:6) Carry on or function
semeval2015.d001.s008.t007	2) The procedure of calculating; determining something by mathematical or logical methods
semeval2015.d001.s009.t000	4) Feel or have a desire for; want strongly
semeval2015.d001.s009.t001	4) Know and comprehend the nature or meaning ofThis definition most closely aligns with the meaning of "understand"
semeval2015.d001.s009.t002	14) Have an effect or outcome; often the one desired or expected.The sentence is stating that in order to understand how
semeval2015.d001.s009.t003	1) (superlative of `good') having the most positive qualities.
semeval2015.d001.s009.t004	The most suitable dictionary definition which identifies the meaning of "thing" among the given options is:1) A separate and self
semeval2015.d001.s009.t005	11) Carry out or perform an action.This definition most accurately represents the meaning of "do" in the given sentence,
semeval2015.d001.s009.t006	2) Perceive (an idea or situation) mentallyThis definition best matches the meaning of "realize" in the
semeval2015.d001.s009.t007	3) Signal going into an electronic system.This definition of "input" is the most suitable because it refers to the idea
semeval2015.d001.s009.t008	2) Change the nature, purpose, or function of something.
semeval2015.d001.s009.t010	4) Absolutely essentialThe sentence implies that knowing MathML is not required to understand how the input is being converted, but
semeval2015.d001.s009.t011	5) Be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about.This
semeval2015.d001.s010.t000	1) Use as a basis for; found onThis definition fits the context of the sentence, as "based on"
semeval2015.d001.s010.t004	6) Not easy; requiring great physical or mental effort to accomplish or comprehend or endure.
semeval2015.d001.s011.t001	1) In an attentive manner
semeval2015.d001.s011.t002	4) Perceive with attention; direct one's gaze towardsThis definition best fits the context of the sentence, as the
semeval2015.d001.s011.t003	None of the given definitions match the meaning of "very". The correct definition for "very" would be a word that indicates
semeval2015.d001.s011.t004	3) Resembling or similar; having the same or some of the same characteristics; often used in combination
semeval2015.d001.s012.t000	5) The arithmetic operation of summing; calculating the sum of two or more numbers.This definition most accurately describes the meaning
semeval2015.d001.s012.t001	Both definitions 1 and 2 are suitable, but definition 1 is more specific and commonly used in everyday language.The
semeval2015.d001.s012.t002	3) An arithmetic operation that is the inverse of division; the product of two numbers is computed.This definition directly corresponds to
semeval2015.d001.s012.t003	10) An arithmetic operation that is the inverse of multiplication; the quotient of two numbers is computed.This definition directly refers to
semeval2015.d001.s013.t000	The most suitable dictionary definition which identifies the meaning of "Power" among the given options is:5) Possession of the
semeval2015.d001.s013.t001	The most suitable dictionary definition for the meaning of "use" in the given sentence is:1) Avail oneself to
semeval2015.d001.s014.t001	2) Capable of happening or existing.
semeval2015.d001.s014.t002	3) Take or consume (regularly or habitually)This definition fits the context of the sentence, as "use"
semeval2015.d001.s015.t000	The most suitable dictionary definition that identifies the meaning of "Powers" in the sentence is:5) Possession of the
semeval2015.d001.s015.t001	15) A way of doing something, especially a systematic way; implies an orderly logical arrangement (usually in steps).This definition
semeval2015.d001.s015.t003	3) (botany) the usually underground organ that lacks buds or leaves or nodes; absorbs water and mineral salts; usually
semeval2015.d001.s015.t004	2) In additionThe sentence is suggesting that powers are an additional way to make roots, so "too" is used
semeval2015.d001.s016.t000	15) A way of doing something, especially a systematic way; implies an orderly logical arrangement (usually in steps).This definition
semeval2015.d001.s016.t001	2) Specify as a condition or requirement in a contract or agreement; make an express demand or provision in an agreementThis
semeval2015.d001.s016.t003	1) A symbol (like x or y) that is used in mathematical or logical expressions to represent a variable quantity
semeval2015.d001.s016.t004	1) (mathematics) a mathematical relation such that each element of a given set (the domain of the function) is
semeval2015.d001.s017.t000	The most suitable dictionary definition which identifies the meaning of "used" is:1) Avail oneself toHowever, in
semeval2015.d001.s017.t001	2) Specify as a condition or requirement in a contract or agreement; make an express demand or provision in an agreement.This
semeval2015.d001.s017.t002	7) Greater than normal in degree or intensity or amount
semeval2015.d001.s017.t003	4) Status established in order of importance or urgency.This definition most accurately captures the meaning of "priority" in the given
semeval2015.d001.s018.t001	6) Discover or determine the existence, presence, or fact of.This definition best matches the meaning of "finds"
semeval2015.d001.s018.t002	8) A set sequence of steps, part of larger computer program.This definition accurately describes the meaning of "function" in
semeval2015.d001.s018.t003	9) Find out, learn, or determine with certainty, usually by making an inquiry or other effort.
semeval2015.d001.s018.t004	6) (mathematics) a symbol or function representing a mathematical operation.
semeval2015.d001.s019.t000	7) Subject to a process or treatment, with the aim of readying for some purpose, improving, or remedying a
semeval2015.d001.s019.t001	6) (mathematics) a symbol or function representing a mathematical operation.In the given sentence, "operator" refers to
semeval2015.d001.s019.t003	7) Subject to a process or treatment, with the aim of readying for some purpose, improving, or remedying a
semeval2015.d001.s019.t004	3) A person who makes use of a thing; someone who uses or employs somethingThis definition best fits the context of
semeval2015.d001.s019.t005	5) The actions and activities assigned to or required or expected of a person or group.In the given sentence, "function
semeval2015.d001.s020.t000	The most suitable dictionary definition for "used" in the sentence "It is used to define a variable value" is:6
semeval2015.d001.s020.t001	2) Give a definition for the meaning of a word.This definition best matches the meaning of "define" in the given
semeval2015.d001.s020.t002	4) The quality (positive or negative) that renders something desirable or valuable
semeval2015.d001.s022.t000	15) A way of doing something, especially a systematic way; implies an orderly logical arrangement (usually in steps).This definition
semeval2015.d001.s022.t001	2) Give a definition for the meaning of a word
semeval2015.d001.s022.t002	1) Imposing or depending on or containing a conditionThis definition best matches the meaning of "conditional" in the context
semeval2015.d001.s022.t003	5) Process or manner of functioning or operatingThis definition is the most suitable to identify the meaning of "operations" in
semeval2015.d001.s023.t000	1) Bring something new to an environmentThis definition captures the idea of adding or bringing something (in this case, a
semeval2015.d001.s023.t002	3) Take or consume (regularly or habitually)This definition best fits the context of the sentence, as it implies
semeval2015.d001.s023.t005	11) Consistent with fact or reality; not false
semeval2015.d001.s023.t006	6) Discover or determine the existence, presence, or fact ofThis definition best fits the context of the sentence, as
semeval2015.d001.s023.t010	1) An occurrence of something
semeval2015.d001.s025.t000	3) Take or consume (regularly or habitually)In the sentence "It can be used to define a container",
semeval2015.d001.s025.t001	2) Give a definition for the meaning of a word
semeval2015.d001.s026.t001	2) Being of use or serviceThis definition is more comprehensive and inclusive of the context in which the word "useful
semeval2015.d001.s026.t002	20) Be employedThe sentence "Mainly useful for working with piecewise" suggests that the word "working" is
semeval2015.d001.s027.t000	2) At the present moment
semeval2015.d001.s027.t001	4) Address a question to and expect an answer from
semeval2015.d001.s027.t002	3) A person who makes use of a thing; someone who uses or employs something.This definition best fits the context of
semeval2015.d001.s028.t000	5) Posing no difficulty; requiring little effort.
semeval2015.d001.s028.t002	1) (mathematics) a mathematical relation such that each element of a given set (the domain of the function) is
semeval2015.d001.s028.t003	3) Function of an angle expressed as a ratio of the length of the sides of right-angled triangle containing the angle
semeval2015.d001.s028.t004	1) Ratio of the length of the side opposite the given angle to the length of the hypotenuse of a right-
semeval2015.d001.s028.t005	3) Very unusual; different in character or quality from the normal or expected
semeval2015.d001.s028.t008	1) A quantity obtained by the addition of a group of numbers
semeval2015.d001.s028.t009	5) A quantity obtained by multiplication.
semeval2015.d001.s030.t000	1) Avail oneself toThis definition best fits the context of the sentence, as "use" is referring to taking
semeval2015.d001.s030.t001	2) The arithmetic operation of summing; calculating the sum of two or more numbers.
semeval2015.d001.s030.t002	2) An arithmetic operation that is the inverse of division; the product of two numbers is computed.This is because "times
semeval2015.d001.s030.t003	7) Have or possess, either in a concrete or an abstract sense.This definition encompasses the various meanings of "has"
semeval2015.d001.s030.t004	6) (mathematics) a symbol or function representing a mathematical operation.
semeval2015.d001.s031.t000	Both definitions 1) and 2) are suitable for the sentence. However, since "useful" is used in
semeval2015.d001.s032.t000	2) In or at that place.
semeval2015.d001.s032.t001	7) Have or possess, either in a concrete or an abstract sense.In the given sentence, "have" is used
semeval2015.d001.s032.t002	4) A database containing an ordered array of items (names or topics).
semeval2015.d001.s032.t003	3) A quantity that can assume any of a set of values.
semeval2015.d001.s033.t000	The most suitable dictionary definition for the sentence is:9) Receive as a specified guestThis definition fits the context of the
semeval2015.d001.s033.t001	5) Leave unchangedIn this context, "lets" is used as a shortened form of "let", which means to
semeval2015.d001.s033.t002	1) Undergo a change; become different in essence; losing one's or its original natureThis definition accurately captures the
semeval2015.d001.s033.t003	4) The quality (positive or negative) that renders something desirable or valuable.This definition best matches the context of the sentence
semeval2015.d001.s033.t004	6) Indicating exactness or preciseness.In the given sentence, "just" is used to indicate exactness
semeval2015.d001.s033.t005	15) A way of doing something, especially a systematic way; implies an orderly logical arrangement (usually in steps).
semeval2015.d001.s033.t007	5) A written record of messages sent or received.
semeval2015.d001.s034.t000	8) The continuum of experience in which events pass from the future through the past.This definition most accurately captures the meaning of
semeval2015.d001.s034.t002	7) An expression consisting of one or more words forming a grammatical constituent of a sentence.This definition accurately describes the meaning
semeval2015.d001.s034.t003	1) A symbol (like x or y) that is used in mathematical or logical expressions to represent a variable quantity
semeval2015.d001.s034.t004	5) A numerical quantity measured or assigned or computedThis definition best matches the context of the sentence, as "ans"
semeval2015.d001.s034.t005	1) Undergo a change; become different in essence; losing one's or its original natureThis definition best matches the
semeval2015.d001.s034.t006	3) Coming after all others in time or space or degree or being the only one remaining.
semeval2015.d001.s034.t007	3) A phenomenon that follows and is caused by some previous phenomenon.This definition best matches the meaning of "result" in
semeval2015.d001.s035.t000	10) Original and of a kind not seen before
semeval2015.d001.s035.t001	2) (computer science) a rectangular part of a computer screen that contains a display different from the rest of the screen.
semeval2015.d001.s036.t000	8) The main stem of a tree; usually covered with bark; the bole is usually the part that is commercially useful
semeval2015.d001.s037.t000	2) Transfer from a storage device to a computer's memoryThis definition best matches the context of the sentence "Ctrl L
semeval2015.d001.s038.t000	5) Carry out a process or program, as on a computer or a machine.
semeval2015.d001.s038.t001	5) A message describing how something is to be done.This definition is the most suitable for the sentence "Executes the
semeval2015.d001.s038.t002	8) A set of related records (either written or electronic) kept together.This definition best matches the context of the sentence
semeval2015.d001.s039.t000	5) Pleasant or pleasing or agreeable in nature or appearance.
semeval2015.d001.s039.t001	4) Feel or have a desire for; want strongly.This definition best captures the meaning of "want" in the given
semeval2015.d001.s039.t002	2) Give a definition for the meaning of a word
semeval2015.d001.s039.t003	The most suitable dictionary definitions that identify the meaning of "libraries" are:4) A collection of literary documents or records kept
semeval2015.d001.s039.t004	1) Give a summary (of)In this context, "resume" means to provide a summary or overview of something,
semeval2015.d001.s039.t005	3) Just preceding something else in time or order.The sentence is suggesting doing something that happened before a certain point in time
semeval2015.d001.s039.t006	11) Activity directed toward making or doing something.This definition best fits the context of the sentence, as it implies taking action
semeval2015.d001.s040.t000	11) To keep up and reserve for personal or special use.In the given sentence, "Save" is used to mean
semeval2015.d001.s041.t000	11) To keep up and reserve for personal or special use
semeval2015.d001.s041.t001	5) A message describing how something is to be done.This definition is the most suitable because the sentence mentions "saves
semeval2015.d001.s041.t002	2) Write by means of a keyboard with types.This definition best fits the context of the sentence, as "typed"
semeval2015.d001.s041.t003	5) Have a beginning, of a temporal event.In the given sentence, "began" refers to the start of
semeval2015.d001.s041.t004	1) Have the skills and qualifications to do things well
semeval2015.d001.s042.t000	2) Bring into existenceThis definition best fits the context of the sentence, as "Generates" implies creating or producing
semeval2015.d001.s042.t002	5) Posing no difficulty; requiring little effort.This definition best fits the context of the sentence, as "easy"
semeval2015.d001.s042.t003	12) Restore by replacing a part or putting together what is torn or broken
semeval2015.d001.s042.t004	3) Take or consume (regularly or habitually)In this context, "using" means to take or consume text
semeval2015.d001.s042.t005	2) (computer science) an application that can be used to create and view and edit text files
semeval2015.d001.s043.t000	11) To keep up and reserve for personal or special use.In the context of the sentence "Ctrl S Save Log",
semeval2015.d001.s043.t001	5) A written record of messages sent or received.This definition fits the context of the sentence "Ctrl S Save Log"
semeval2015.d001.s044.t000	11) To keep up and reserve for personal or special use.This definition most closely matches the meaning of "Saves"
semeval2015.d001.s044.t001	6) Measuring instrument that consists of a float that trails from a ship by a knotted line in order to measure the
semeval2015.d001.s044.t002	2) The semantic role of the noun phrase whose referent exists only by virtue of the activity denoted by the verb in
semeval2015.d001.s044.t004	1) Have the skills and qualifications to do things well
semeval2015.d001.s044.t005	2) Reproduce by printingThe sentence is referring to the act of reproducing the log's results in a format that
semeval2015.d001.s044.t006	1) Prepare and issue for public distribution or sale
semeval2015.d001.s045.t000	The most suitable dictionary definition for the meaning of "Quit" in the sentence "Ctrl Q Quit" is:2) Give
semeval2015.d001.s046.t000	10) (computer science) a sequence of instructions that a computer can interpret and execute
semeval2015.d001.s047.t000	1) Make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope
semeval2015.d001.s047.t001	10) Original and of a kind not seen before
semeval2015.d001.s047.t003	11) Carry out or perform an action.The sentence is instructing someone to take a specific action (add a new
semeval2015.d001.s047.t004	20) Begin or set in motion
semeval2015.d001.s047.t006	1) Make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope
semeval2015.d001.s047.t007	1) Make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope
semeval2015.d001.s047.t008	10) Original and of a kind not seen before.This definition best describes the meaning of "new" in the given sentence
